"","x"
"1","row.names"
"2","Superficie"
"3","X1er_quartile_euro"
"4","X3e_quartile_euro"
"5","Audio_prothesiste"
"6","Autre_formation_continue"
"7","Autre_formation_continue_prive"
"8","Autre_formation_continue_public"
"9","Autre_formation_post_bac_non_universitaire"
"10","Autre_formation_post_bac_non_universitaire_prive"
"11","Autre_formation_post_bac_non_universitaire_public"
"12","Bassin_natation"
"13","Bureau_poste"
"14","College"
"15","College_prive"
"16","College_public"
"17","Conservatoire"
"18","Controle_technique_auto"
"19","Domaine_skiable"
"20","Ergotherapeute"
"21","Formation_commerce"
"22","Formation_commerce_prive"
"23","Formation_sante"
"24","Formation_sante_prive"
"25","Formation_sante_public"
"26","Hospitalisation_domicile"
"27","Hypermarche"
"28","Institut_universitaire"
"29","Institut_universitaire_public"
"30","Location_auto.utilitaires_legers"
"31","Magasin_chaussures"
"32","Magasin_meubles"
"33","Magasin_optique"
"34","Maison_sante_pluridisciplinaires"
"35","Masseur_kinesitherapeute"
"36","Mediane_euro"
"37","Orthophoniste"
"38","Orthoptiste"
"39","Pedicure.podologue"
"40","Poissonnerie"
"41","Pompes_funebres"
"42","Psychologue"
"43","Reseau_proximite_pole_emploi"
"44","Reseau_specialise_pole_emploi"
"45","Restaurant_universitaire"
"46","Restaurant_universitaire_prive"
"47","Restaurant_universitaire_public"
"48","Sage.femme"
"49","Salles_combat"
"50","Salles_multisports_gymnase"
"51","Salles_non_specialisees"
"52","Salles_remise_forme"
"53","Salles_specialisees"
"54","Sports_nautiques"
"55","Station_service"
"56","Supermarche"
"57","Terrain_golf"
"58","Terrains_grands_jeux"
"59","Transfusion_sanguine"
"60","Travail_protege"
"61","Tribunal_commerce"
"62","Tribunal_instance"
"63","ecole_maternelle"
"64","ecole_maternelle_RPIC"
"65","ecole_maternelle_RPIC_public"
"66","ecole_maternelle_RPI_disperse"
"67","ecole_maternelle_RPI_disperse_public"
"68","ecole_maternelle_prive"
"69","ecole_maternelle_public"
"70","Detail"
"71","url"
"72","Res_princ_30_moins_40_m2"
"73","Res_princ_40_moins_60_m2"
"74","Res_princ_60_moins_80_m2"
"75","Res_princ_80_moins_100_m2"
"76","Res_princ_100_moins_120_m2"
"77","Actifs_occ_15.64_ans_Agriculteurs_exploitants"
"78","Pop_55.79_ans_vivant_seule"
"79","Pop_25.54_ans_vivant_seule"
"80","Pop_15.24_ans_vivant_seule"
"81","Pop_25.54_ans_2"
"82","Pop_15.24_ans_2"
"83","Actifs_occupes_15.64_ans_Employes"
"84","Actifs_occ_15.64_ans_Prof_intermediaires"
"85","Actifs_occ_15.64_ans_Cadres_Prof_intel_sup"
"86","Actifs_occupes_15.64_ans"
"87","Actifs_15.64_ans_Employes"
"88","Actifs_15.64_ans_Prof_intermediaires"
"89","Actifs_15.64_ans_Cadres_Prof_intel_sup"
"90","Actifs_15.64_ans_Agriculteurs_exploitants"
"91","Actifs_15.64_ans"
"92","Autres_inactifs_15.64_ans_Femmes"
"93","Autres_inactifs_15.64_ans_Hommes"
"94","Autres_inactifs_15.64_ans"
"95","Inactifs_15.64_ans_Femmes"
"96","Inactifs_15.64_ans_Hommes"
"97","Inactifs_15.64_ans"
"98","Chomeurs_15.64_ans_Femmes"
"99","Chomeurs_15.64_ans_Hommes"
"100","Chomeurs_55.64_ans"
"101","Chomeurs_25.54_ans"
"102","Chomeurs_15.24_ans"
"103","Chomeurs_15.64_ans"
"104","Actifs_occupes_55.64_ans_Femmes"
"105","Actifs_occupes_25.54_ans_Femmes"
"106","Actifs_occupes_15.24_ans_Femmes"
"107","Actifs_occupes_15.64_ans_Femmes"
"108","Actifs_occupes_55.64_ans_Hommes"
"109","Actifs_occupes_25.54_ans_Hommes"
"110","Actifs_occupes_15.24_ans_Hommes"
"111","Actifs_occupes_15.64_ans_Hommes"
"112","Actifs_occupes_55.64_ans"
"113","Actifs_occupes_25.54_ans"
"114","Actifs_occupes_15.24_ans"
"115","Actifs_occupes_15.64_ans2"
"116","Actifs_55.64_ans_Femmes"
"117","Actifs_25.54_ans_Femmes"
"118","Actifs_15.24_ans_Femmes"
"119","Actifs_15.64_ans_Femmes"
"120","Actifs_55.64_ans_Hommes"
"121","Actifs_25.54_ans_Hommes"
"122","Actifs_15.24_ans_Hommes"
"123","Actifs_15.64_ans_Hommes"
"124","Actifs_55.64_ans"
"125","Actifs_25.54_ans"
"126","Actifs_15.24_ans"
"127","Actifs_15.64_ans2"
"128","Pop_55.64_ans_Femmes"
"129","Pop_25.54_ans_Femmes"
"130","Pop_15.24_ans_Femmes"
"131","Pop_15.64_ans_Femmes"
"132","Pop_55.64_ans_Hommes"
"133","Pop_25.54_ans_Hommes"
"134","Pop_15.24_ans_Hommes"
"135","Pop_15.64_ans_Hommes"
"136","Pop_scorisee_25.29_ans"
"137","Pop_scorisee_18.24_ans"
"138","Pop_scorisee_15.17_ans"
"139","Pop_scorisee_11.14_ans"
"140","Pop_scorisee_6.10_ans"
"141","Pop_scorisee_2.5_ans"
"142","Personnes_agees_services_repas_domicile"
"143","Personnes_agees_foyer_restaurant"
"144","Personnes_agees_soins_domicile"
"145","Fleuriste.jardinerie.Animalerie"
"146","Droguerie_quincaillerie_bricoge"
"147","Spe_gynecologie"
"148","Spe_stomatologie"
"149","Spe_pneumologie"
"150","Spe_pediatrie"
"151","Spe_oto.rhino.ryngologie"
"152","Spe_ophtalmologie"
"153","Spe_psychiatrie"
"154","Spe_cardiologie"
"155","ecole_maternelle_RPI_disperse_cantine"
"156","ecole_maternelle_cantine"
"157","ecole_maternelle_cantine_prive"
"158","ecole_maternelle_RPI_disperse_cantine_public"
"159","ecole_maternelle_cantine_public"
"160","College_internat"
"161","College_cantine"
"162","College_internat_prive"
"163","College_cantine_prive"
"164","College_internat_public"
"165","College_cantine_public"
"166","Structures_psychiatriques_ambutoire"
"167","Institut_beaute.Onglerie"
"168","Pressing.verie_automatique"
"169","Ptrier_peintre"
"170","Reis_poste"
"171","Theatre.Arts_rue.Pole_Cirque"
"172","Salles_combat_moins_une_aire_pratique_eciree"
"173","Salles_multisports_gymnase_moins_une_aire_pratique_eciree"
"174","Salles_remise_forme_moins_une_aire_pratique_eciree"
"175","Bowling_moins_une_aire_jeu_eciree"
"176","Sports_nautiques_moins_une_aire_pratique_eciree"
"177","Terrains_grands_jeux_moins_un_terrain_ecire"
"178","Salles_specialisees_moins_une_aire_pratique_eciree"
"179","Sports_gce_moins_une_aire_pratique_eciree"
"180","Sports_gce"
"181","Terrain_golf_moins_une_aire_pratique_eciree"
"182","Domaine_skiable_moins_une_piste_eciree"
"183","Bassin_natation_moins_un_bassin_ecire"
"184","TYP_IRIS"
"185","Cases_traditionnelles_DOM"
"186","Habitations_fortune_DOM"
"187","Res_princ_piece_climatisee_DOM"
"188","Res_princ_chauffe.eau_soire_DOM"
"189","Res_princ_electricite_DOM"
"190","Pers_Res_princ_occupees_gratuit"
"191","Pers_Res_princ_occupees_Locataires"
"192","Personnes_Res_princ"
"193","Res_princ_loge_gratuit"
"194","Res_princ_occupees_Locataires"
"195","Res_princ_maison_2006_2013"
"196","Res_princ_maison_1991_2005"
"197","Res_princ_maison_1971_1990"
"198","Res_princ_maison_1946_1970"
"199","Res_princ_maison_1919_1945"
"200","Res_princ_maison_avt_1919"
"201","Res_princ_2006_2013"
"202","Res_princ_1991_2005"
"203","Res_princ_1971_1990"
"204","Res_princ_1946_1970"
"205","Res_princ_1919_1945"
"206","Res_princ_avt_1919"
"207","Res_princ_moins_30_m2"
"208","Pieces_res_princ_maison"
"209","Res_princ_maison"
"210","Pieces_res_princ"
"211","Res_princ_4_pieces"
"212","Res_princ_3_pieces"
"213","Res_princ_2_pieces"
"214","Res_princ_1_piece"
"215","ecart_inter.quartile_rapporte_mediane"
"216","Pop_Femmes_20.64_ans"
"217","Pop_Femmes_0.19_ans"
"218","Pop_Femmes_60.74_ans"
"219","Pop_Femmes_45.59_ans"
"220","Pop_Femmes_30.44_ans"
"221","Pop_Femmes_15.29_ans"
"222","Pop_Femmes_0.14_ans"
"223","Pop_Hommes_20.64_ans"
"224","Pop_Hommes_0.19_ans"
"225","Pop_Hommes_60.74_ans"
"226","Pop_Hommes_45.59_ans"
"227","Pop_Hommes_30.44_ans"
"228","Pop_Hommes_15.29_ans"
"229","Pop_Hommes_0.14_ans"
"230","X1er_decile_euro"
"231","X2e_decile_euro"
"232","X3e_decile_euro"
"233","X4e_decile_euro"
"234","X6e_decile_euro"
"235","X7e_decile_euro"
"236","X8e_decile_euro"
"237","X9e_decile_euro"
"238","Adultes_handicapes_hebergement"
"239","Adultes_handicapes_services_aides"
"240","Adultes_handicapes_services_soins_domicile"
"241","Aeroport"
"242","Agence_immobiliere"
"243","Agence_postale"
"244","Agence_travail_temporaire"
"245","Agence_voyage"
"246","Aide_sociale_enfance_action_educative"
"247","Aide_sociale_enfance_hebergement"
"248","Antenne_justice"
"249","Athletisme"
"250","Autre_enseignement_superieur"
"251","Autre_enseignement_superieur_public"
"252","Baignade_amenagee"
"253","Boucherie_charcuterie"
"254","Boucle_randonnee"
"255","Boulodrome"
"256","Bowling"
"257","Camping"
"258","Centre_accueil_demandeur_asile"
"259","Centre_equestre"
"260","Centre_formation_apprentis_hors_agriculture"
"261","Centre_formation_apprentis_hors_agriculture_prive"
"262","Centre_formation_apprentis_hors_agriculture_public"
"263","Centre_lutte_cancer"
"264","Centre_medecine_preventive"
"265","Centre_provisoire_hebergement"
"266","Centre_sante"
"267","Chirurgien_dentiste"
"268","Cinema"
"269","Coiffure"
"270","College_appartenant_un_EP"
"271","College_appartenant_un_EP_public"
"272","Cour_appel"
"273","DDFiP"
"274","DGFiP"
"275","DRFiP"
"276","Dialyse"
"277","Dieteticien"
"278","Ecole_enseignement_superieur_agricole"
"279","Ecole_enseignement_superieur_agricole_prive"
"280","Ecole_enseignement_superieur_agricole_public"
"281","Ecole_ingenieurs"
"282","Ecole_ingenieurs_prive"
"283","Ecole_ingenieurs_public"
"284","Elev_Etud_Stag_non_remuneres_15.64_ans"
"285","Enfants_handicapes_hebergement"
"286","Enseignement_general_superieur_prive"
"287","Enseignement_general_superieur_prive2"
"288","Epicerie"
"289","Etablissement_psychiatrique"
"290","Etablissement_sante_court_sejour"
"291","Etablissement_sante_long_sejour"
"292","Etablissement_sante_moyen_sejour"
"293","GRETA"
"294","GRETA_public"
"295","Gendarmerie"
"296","Horlogerie_Bijouterie"
"297","Hotel"
"298","Infirmier"
"299","Information_Touristique"
"300","Librairie_papeterie_journaux"
"301","Lycee_enseignement_professionnel"
"302","Lycee_enseignement_professionnel_appartenant_un_EP"
"303","Lycee_enseignement_professionnel_appartenant_un_EP_public"
"304","Lycee_enseignement_professionnel_prive"
"305","Lycee_enseignement_professionnel_public"
"306","Magasin_vetements"
"307","Maternite"
"308","Musee"
"309","Nombre_salles_dans_le_cinema"
"310","Parcours_sportif_sante"
"311","Pharmacie"
"312","Police"
"313","Pop_men_fam_princ_Couple_sans_enfant"
"314","Produits_surgeles"
"315","Psychomotricien"
"316","Rapport_interdecile_D9_D1"
"317","Reseau_partenarial_pole_emploi"
"318","Residence_universitaire"
"319","Residence_universitaire_public"
"320","S80_S20"
"321","SEP_section_enseignement_professionnel"
"322","SEP_section_enseignement_professionnel_prive"
"323","SEP_section_enseignement_professionnel_public"
"324","Superette"
"325","Tennis"
"326","Tribunal_grande_instance"
"327","Urgences"
"328","Veterinaire"
"329","ecole_conduite"
"330","ecole_elementaire"
"331","ecole_elementaire_RPIC"
"332","ecole_elementaire_RPIC_public"
"333","ecole_elementaire_RPI_disperse"
"334","ecole_elementaire_RPI_disperse_public"
"335","ecole_elementaire_appartenant_un_EP"
"336","ecole_elementaire_appartenant_un_EP_public"
"337","ecole_elementaire_prive"
"338","ecole_elementaire_public"
"339","ecole_maternelle_appartenant_un_EP"
"340","ecole_maternelle_appartenant_un_EP_public"
"341","electricien"
"342","equipement_cyclisme"
"343","etablissement_thermal"
"344","Pop_men_emmenages_moins_2_ans"
"345","Pop_men_emmenages_entre_2.4_ans"
"346","Pop_men_emmenages_entre_5.9_ans"
"347","Pers_Res_princ_HLM_louees_vides"
"348","Anc_tot_Emmengt_Res_princ_annees"
"349","Res_princ_SDB_baignoire_douche_MET"
"350","Res_princ_Chauffage_Central_Collectif_MET"
"351","Res_princ_Chauffage_Central_Individuel_MET"
"352","Men_fam_princ_Couple_sans_enfant"
"353","Pop_men_fam_princ_Famille_mono"
"354","Pop_men_Pers_Ref_Prof_intermediaire"
"355","Fam_0_enfant_moins_25_ans"
"356","Fam_1_enfant_moins_25_ans"
"357","Fam_2_enfants_moins_25_ans"
"358","Fam_3_enfants_moins_25_ans"
"359","Fam_4_enfantsplus_moins_25_ans"
"360","Fam_Couple_sans_enfant"
"361","Fam_Monoparentales"
"362","Fam_Couple_enfant_s"
"363","Familles"
"364","Pop_men_Pers_Ref_Autre"
"365","Pop_men_Pers_Ref_Retraite"
"366","Pop_men_Pers_Ref_Ouvrier"
"367","Pop_men_Pers_Ref_Employe"
"368","Pop_men_Pers_Ref_Cadre_Prof_int_sup"
"369","Pop_men_Pers_Ref_Art_Com_Chef_entr"
"370","Pop_men_Pers_Ref_Agri_expl"
"371","Menages_Pers_Ref_Autre"
"372","Menages_Pers_Ref_Retraite"
"373","Menages_Pers_Ref_Ouvrier"
"374","Menages_Pers_Ref_Employe"
"375","Menages_Pers_Ref_Prof_intermediaire"
"376","Menages_Pers_Ref_Cadre_Prof_int_sup"
"377","Menages_Pers_Ref_Art_Comm_Chef_entr"
"378","Menages_Pers_Ref_Agri_expl"
"379","Pop_15_ansplus_Non_mariee"
"380","Pop_15_ansplus_Mariee"
"381","Pop_80_ansplus_vivant_seule"
"382","Pop_15_ansplus_ans_vivant_seule"
"383","Pop_men_80_ansplus"
"384","Pop_men_55.79_ans"
"385","Pop_men_25.54_ans"
"386","Pop_men_15.24_ans"
"387","Pop_men_15_ansplus"
"388","Pop_80_ansplus_2"
"389","Pop_55.79_ans"
"390","Pop_15_ansplus"
"391","Pop_men_fam_princ_Couple_enfant_s"
"392","Pop_men_famille_s"
"393","Pop_men_Autres_sans_famille"
"394","Pop_men_Femmes_seules"
"395","Pop_men_Hommes_seuls"
"396","Pop_men_Personnes_seules"
"397","Pop_Menages"
"398","Men_fam_princ_Famille_mono"
"399","Men_fam_princ_Couple_enfant_s"
"400","Menages_famille_s"
"401","Menages_Autres_sans_famille"
"402","Menages_Femmes_seules"
"403","Menages_Hommes_seuls"
"404","Menages_1_personne"
"405","Menages"
"406","Actif_occ_15_ansplus_transport_commun"
"407","Actif_occ_15_ansplus_voiture_camion"
"408","Actif_occ_15_ansplus_deux_roues"
"409","Actif_occ_15_ansplus_marche_pied"
"410","Actif_occ_15_ansplus_pas_transport"
"411","Actif_occ_15_ansplus"
"412","Actif_occ_15_ansplus_travaille_autre_region_hors_metropole"
"413","Actif_occ_15_ansplus_travaille_autre_region_metropole"
"414","Actif_occ_15_ansplus_travaille_autre_dept_meme_region_residence"
"415","Actif_occ_15_ansplus_travaille_autre_commune_meme_dept_residence"
"416","Actif_occ_15_ansplus_travaille_autre_commune_que_commune_residence"
"417","Actif_occ_15_ansplus_travaille_commune_residence"
"418","Non.saries_15_ansplus_Aides_familiaux"
"419","Non.saries_15_ansplus_Employeurs"
"420","Non.saries_15_ansplus_Independants"
"421","Saries_15_ansplus_Apprentissage.Stage"
"422","Saries_15_ansplus_Emplois_aides"
"423","Saries_15_ansplus_Interim"
"424","Saries_15_ansplus_CDD"
"425","Saries_15_ansplus_Fonct_publ_CDI"
"426","Non.saries_15_ansplus_TP"
"427","Saries_15_ansplus_TP_Femmes"
"428","Saries_15_ansplus_TP_Hommes"
"429","Saries_15_ansplus_TP"
"430","Actifs_occ_15_ansplus_TP"
"431","Non.saries_15_ansplus_Femmes"
"432","Non.saries_15_ansplus_Hommes"
"433","Non.saries_15_ansplus"
"434","Saries_15_ansplus_Femmes"
"435","Saries_15_ansplus_Hommes"
"436","Saries_15_ansplus"
"437","Actifs_occupes_15_ansplus_Femmes"
"438","Actifs_occupes_15_ansplus_Hommes"
"439","Actifs_occupes_15_ansplus"
"440","Actifs_occupes_15.64_ans_Ouvriers"
"441","Actifs_occ_15.64_ans_Artisans_Comm_Chefs_entr"
"442","Actifs_15.64_ans_Ouvriers"
"443","Actifs_15.64_ans_Artisans_Comm_Chefs_entr"
"444","Retraites_Preretraites_15.64_ans_Femmes"
"445","Retraites_Preretraites_15.64_ans_Hommes"
"446","Retraites_Preretraites_15.64_ans"
"447","Elev_Etud_Stag_non_remuneres_15.64_ans_Femmes"
"448","Elev_Etud_Stag_non_remuneres_15.64_ans_Hommes"
"449","Pop_55.64_ans"
"450","Pop_25.54_ans"
"451","Pop_15.24_ans"
"452","Pop_15.64_ans"
"453","Femmes_15_ansplus_non_scol_Enseignement_sup"
"454","Femmes_15_ansplus_non_scol_BAC"
"455","Femmes_15_ansplus_non_scol_CAP.BEP"
"456","Femmes_15_ansplus_non_scol_Sans_diplomeBEPC_brevetcolleges_DNB"
"457","Femmes_15_ansplus_non_scorisees"
"458","Hommes_15_ansplus_non_scol_Enseignement_sup"
"459","Hommes_15_ansplus_non_scol_BAC"
"460","Hommes_15_ansplus_non_scol_CAP.BEP"
"461","Hommes_15_ansplus_non_scol_Sans_diplomeBEPC_brevetcolleges_DNB"
"462","Hommes_15_ansplus_non_scorises"
"463","Pop_15_ansplus_non_scol_Enseignement_sup"
"464","Pop_15_ansplus_non_scol_BAC"
"465","Pop_15_ansplus_non_scol_CAP.BEP"
"466","Pop_15_ansplus_non_scol_Sans_diplomeBEPC_brevetcolleges_DNB"
"467","Pop_15_ansplus_non_scorisee"
"468","Pop_scorisee_30_ansplus"
"469","Autres_etablissements_pour_adultesfamilles_difficulte"
"470","CHRS_centre_hebergementde_readaptation_sociale"
"471","Enfants_handicapes_services_domicileambutoires"
"472","Creches"
"473","Personnes_agees_services_aide"
"474","Personnes_agees_hebergement"
"475","Magasin_materiel_medicalorthopedique"
"476","Parfumerie.Cosmetique"
"477","Magasin_revetements_murssols"
"478","Magasin_articles_sportsde_loisirs"
"479","Magasin_electromenagerde_materiel_audio.video"
"480","Magasin_equipementsfoyer"
"481","Boungerie"
"482","Grande_surface_bricoge"
"483","ecole_elementaire_RPI_disperse_ecole_pre.elementaire"
"484","ecole_elementaire_RPI_disperse_cantine"
"485","ecole_elementaire_csse_pre.elementaire"
"486","ecole_elementaire_cantine"
"487","ecole_elementaire_csse_pre.elementaire_prive"
"488","ecole_elementaire_cantine_prive"
"489","ecole_elementaire_RPI_disperse_ecole_pre.elementaire_public"
"490","ecole_elementaire_RPI_disperse_cantine_public"
"491","ecole_elementaire_csse_pre.elementaire_public"
"492","ecole_elementaire_cantine_public"
"493","SEP_section_enseignement_professionnel_internat"
"494","SEP_section_enseignement_professionnel_cantine"
"495","SGT_Section_enseignement_generaltechnologique_internat"
"496","SGT_Section_enseignement_generaltechnologique_cantine"
"497","SGT_Section_enseignement_generaltechnologique"
"498","Lycee_techniqueet_professionnel_agricole_internat"
"499","Lycee_techniqueet_professionnel_agricole_prepa_grandes_ecoles"
"500","Lycee_techniqueet_professionnel_agricole"
"501","Lycee_enseignement_professionnel_internat"
"502","Lycee_enseignement_professionnel_cantine"
"503","Lycee_enseignement_general_technologique_internat"
"504","Lycee_enseignement_general_technologique_appartenant_un_EP"
"505","Lycee_enseignement_general_technologique_prepa_grandes_ecoles"
"506","Lycee_enseignement_general_technologique_cantine"
"507","Lycee_enseignement_general_technologique"
"508","SEP_section_enseignement_professionnel_internat2"
"509","SEP_section_enseignement_professionnel_cantine_prive"
"510","SGT_Section_enseignement_generaltechnologique_internat_prive"
"511","SGT_Section_enseignement_generaltechnologique_cantine_prive"
"512","SGT_Section_enseignement_generaltechnologique_prive"
"513","Lycee_techniqueet_professionnel_agricole_internat_prive"
"514","Lycee_techniqueet_professionnel_agricole_prive"
"515","Lycee_enseignement_professionnel_internat_prive"
"516","Lycee_enseignement_professionnel_cantine_prive"
"517","Lycee_enseignement_general_technologique_internat_prive"
"518","Lycee_enseignement_general_technologique_prepa_grandes_ecoles_prive"
"519","Lycee_enseignement_general_technologique_cantine_prive"
"520","Lycee_enseignement_general_technologique_prive"
"521","SEP_section_enseignement_professionnel_internat_public"
"522","SEP_section_enseignement_professionnel_cantine_public"
"523","SGT_Section_enseignement_generaltechnologique_internat_public"
"524","SGT_Section_enseignement_generaltechnologique_cantine_public"
"525","SGT_Section_enseignement_generaltechnologique_public"
"526","Lycee_techniqueet_professionnel_agricole_internat_public"
"527","Lycee_techniqueet_professionnel_agricole_prepa_grandes_ecoles_public"
"528","Lycee_techniqueet_professionnel_agricole_public"
"529","Lycee_enseignement_professionnel_internat_public"
"530","Lycee_enseignement_professionnel_cantine_public"
"531","Lycee_enseignement_general_technologique_internat_public"
"532","Lycee_enseignement_general_technologique_EP_public"
"533","Lycee_enseignement_general_technologique_prepa_grandes_ecoles_public"
"534","Lycee_enseignement_general_technologique_cantine_public"
"535","Lycee_enseignement_general_technologique_public"
"536","Centre_dispensantformations_apprentissage_agricole_internat"
"537","Centre_dispensantformations_apprentissage_agricole"
"538","Formation_aux_metierssport"
"539","Centre_dispensant_formation_continue_agricole"
"540","Ecole_enseignement_superieur_agricole_internat"
"541","Unite_Formationde_Recherche"
"542","Section_Tech_Superieur_Csse_Prepa_Grandes_Ecoles"
"543","Centre_dispensantformations_apprentissage_agricole_internat_prive"
"544","Centre_dispensantformations_apprentissage_agricole_prive"
"545","Formation_aux_metierssport_prive"
"546","Centre_dispensant_formation_continue_agricole_prive"
"547","Section_Tech_Superieur_Csse_Prepa_aux_Grandes_Ecoles_prive"
"548","Centre_dispensantformations_apprentissage_agricole_internat_public"
"549","Centre_dispensantformations_apprentissage_agricole_public"
"550","Formation_aux_metierssport_public"
"551","Centre_dispensant_formation_continue_agricole_public"
"552","Ecole_enseignement_superieur_agricole_internat_public"
"553","Unite_Formationde_Recherche_public"
"554","Spe_radiodiagnosticimagerie_medicale"
"555","Spe_gastro.enterologie_hepatologie"
"556","Spe_dermatologie_venereologie"
"557","Medecin_generaliste"
"558","Conseil_departemental_acces_droit"
"559","Restaurant.Restauration_rapide"
"560","Entreprise_generalebatiment"
"561","Plombier_couvreur_chauffagiste"
"562","Menuisier_charpentier_serrurier"
"563","Macon"
