"","x"
"564","Reparation_autode_materiel_agricole"
"565","Banques_caisses_epargne"
"566","Maison_justicedu_droit"
"567","Conseilpru_hommes"
"568","Ambunce"
"569","boratoire_analysesde_biologie_medicales"
"570","Nombre_salles_dans_structure_culturelle"
"571","Salles_combat_moins_une_aire_pratique_couverte"
"572","Salles_combat.nombre_aires_pratique"
"573","Boucle_randonnee.nombre_circuits"
"574","Port_pisance.Mouilge.nombre_ports_zones"
"575","Port_pisance.Mouilge"
"576","Baignade_amenagee.nombre_aires_pratique"
"577","Salles_multisports_gymnase_moins_une_aire_pratique_couverte"
"578","Salles_multisports_gymnase_.nombre_aires_pratique"
"579","Salles_remise_forme_moins_une_aire_pratique_couverte"
"580","Salles_remise_forme.nombre_aires_pratique"
"581","Bowling_moins_une_aire_jeu_couverte"
"582","Bowling.nombre_aires_jeu"
"583","Sports_nautiques_moins_une_aire_pratique_couverte"
"584","Sports_nautiques.nombre_aires_pratique"
"585","Roller.Skate.Velo_bicrossfreestyle_moins_un_equipement_ecire"
"586","Roller.Skate.Velo_bicrossfreestyle_moins_un_equipement_couvert"
"587","Roller.Skate.Velo_bicrossfreestyle.nombre_pistes"
"588","Roller.Skate.Velo_bicrossfreestyle"
"589","Salles_non_specialisees_moins_un_equipement_ecire"
"590","Salles_non_specialisees_moins_un_equipement_couvert"
"591","Salles_non_specialisees.nombre_equipements_où_exerce_moins_une_activite_physique_sportive"
"592","Terrains_grands_jeux_moins_un_terrain_couvert"
"593","Terrains_grands_jeux.nombre_terrains"
"594","Salles_specialisees_moins_une_aire_pratique_couverte"
"595","Salles_specialisees.nombre_aires_pratique"
"596","Pteauxterrains_jeux_exterieurs_moins_une_aire_pratique_eciree"
"597","Pteauxterrains_jeux_exterieurs_moins_une_aire_pratique_couverte"
"598","Pteauxterrains_jeux_exterieurs.nombre_aires_pratique"
"599","Pteauxterrains_jeux_exterieurs"
"600","Sports_gce_moins_une_aire_pratique_couverte"
"601","Sports_gce.nombre_aires_pratique"
"602","Parcours_sportif_sante_moins_un_parcours_ecire"
"603","Parcours_sportif_sante_moins_un_parcours_couvert"
"604","Parcours_sportif_sante.nombre_parcours"
"605","Terrain_golf_moins_une_aire_pratique_couverte"
"606","Terrain_golf.nombre_aires_pratique"
"607","Athletisme_moins_une_aire_pratique_eciree"
"608","Athletisme_moins_une_aire_pratique_couverte"
"609","Athletisme.nombre_aires_pratique"
"610","Centre_equestre_moins_un_equipement_ecire"
"611","Centre_equestre_moins_un_equipement_couvert"
"612","Centre_equestre.nombre_carrieres_maneges"
"613","Domaine_skiable.nombre_pistes"
"614","equipement_cyclisme_moins_une_piste_eciree"
"615","equipement_cyclisme_moins_une_piste_couverte"
"616","equipement_cyclisme.nombre_pistes"
"617","Tennis_moins_un_court_ecire"
"618","Tennis_moins_un_court_couvert"
"619","Tennis.nombre_courts"
"620","Boulodrome_moins_un_terrain_ecire"
"621","Boulodrome_moins_un_terrain_couvert"
"622","Boulodrome.nombre_terrains"
"623","Bassin_natation_moins_un_bassin_couvert"
"624","Bassin_natation.nombre_bassins_natation_sportive_ludique"
"625","Gare_voyageurs_interet_local"
"626","Gare_voyageurs_interet_regional"
"627","Gare_voyageurs_interet_national"
"628","Taxi.VTC"
"629","MaisonsImmeubles_dur_DOM"
"630","MaisonsImmeubles_bois_DOM"
"631","Menages_deux_voituresplus"
"632","Menages_une_voiture"
"633","Menages_moins_une_voiture"
"634","Menages_moins_un_parking"
"635","Res_princ_tout_egout_DOM"
"636","Res_princ_Bain_Douche_WC_DOM"
"637","Res_princ_eau_chaude_DOM"
"638","Res_princ_Chauffage_Individuel_elec_MET"
"639","Anc_tot_Emmengt_Res_princ_occ_gratuit_annees"
"640","Anc_tot_Emmengt_Res_princ_HLM_louees_vides_annees"
"641","Anc_tot_Emmengt_Res_princ_occLocataires_annees"
"642","Anc_tot_Emmengt_Res_princ_occProprietaires_annees"
"643","Pers_Res_princ_occupees_Proprietaires"
"644","Res_princ_HLM_louee_vide"
"645","Res_princ_occupees_Proprietaires"
"646","Pieces_Res_princ_Men_emmenages_depuis_10_ansplus"
"647","Pieces_Res_princ_Men_emmenages_entre_5.9_ans"
"648","Pieces_Res_princ_Men_emmenages_entre_2.4_ans"
"649","Pieces_Res_princ_Men_emmenages_moins_2_ans"
"650","Pop_men_emmenages_depuis_10_ansplus"
"651","Pop_menages"
"652","Menages_emmenages_depuis_10_ansplus"
"653","Menages_emmenages_entre_5.9_ans"
"654","Menages_emmenages_entre_2.4_ans"
"655","Menages_emmenages_moins_2_ans"
"656","Menages2"
"657","Res_princ_appart_2006_2013"
"658","Res_princ_appart_1991_2005"
"659","Res_princ_appart_1971_1990"
"660","Res_princ_appart_1946_1970"
"661","Res_princ_appart_1919_1945"
"662","Res_princ_appart_avt_1919"
"663","Res_princ_appart_avt"
"664","Res_princ_maison_avt"
"665","Res_princ_avt"
"666","Res_princ_120_m2plus"
"667","Pieces_res_princ_appartement"
"668","Res_princ_appartement"
"669","Res_princ_5_piecesplus"
"670","Appartements"
"671","Maisons"
"672","Logements_vacants"
"673","Res_secondaireslogts_occasionnels"
"674","Residences_principales"
"675","Logements"
"676","Note_precaution_voir_onglet_seuils"
"677","Partrevenus_activite_tx"
"678","Partautres_revenus_tx"
"679","Partpensions_retraitesrentes_tx"
"680","dont_partrevenusactivites_non_sariees_tx"
"681","dont_partindemnites_chomage_tx"
"682","dont_partsairestraitements_tx"
"683","Taux_bas_revenus_decres_seuil_60_tx_tx"
"684","Partmenages_fiscaux_imposes_tx"
"685","Pop_hors_menages"
"686","Pop_menages_2"
"687","Pop_Immigres"
"688","Pop_Etrangers"
"689","Pop_Francais"
"690","Pop_15_ansplus_Femmes_Autres"
"691","Pop_15_ansplus_Femmes_Retraites"
"692","Pop_15_ansplus_Femmes_Ouvriers"
"693","Pop_15_ansplus_Femmes_Employes"
"694","Pop_15_ansplus_Femmes_Prof_intermediaires"
"695","Pop_15_ansplus_Femmes_Cadres_Prof_intel_sup"
"696","Pop_15_ansplus_Femmes_Artisans_Comm_Chefs_entr"
"697","Pop_15_ansplus_Femmes_Agriculteurs_exploitants"
"698","Pop_15_ansplus_Femmes"
"699","Pop_15_ansplus_Hommes_Autres"
"700","Pop_15_ansplus_Hommes_Retraites"
"701","Pop_15_ansplus_Hommes_Ouvriers"
"702","Pop_15_ansplus_Hommes_Employes"
"703","Pop_15_ansplus_Hommes_Prof_intermediaires"
"704","Pop_15_ansplus_Hommes_Cadres_Prof_intel_sup"
"705","Pop_15_ansplus_Hommes_Artisans_Comm_Chefs_entr"
"706","Pop_15_ansplus_Hommes_Agriculteurs_exploitants"
"707","Pop_15_ansplus_Hommes"
"708","Pop_15_ansplus_Autres"
"709","Pop_15_ansplus_Retraites"
"710","Pop_15_ansplus_Ouvriers"
"711","Pop_15_ansplus_Employes"
"712","Pop_15_ansplus_Prof_intermediaires"
"713","Pop_15_ansplus_Cadres_Prof_intel_sup"
"714","Pop_15_ansplus_Artisans_Comm_Chefs_entr"
"715","Pop_15_ansplus_Agriculteurs_exploitants"
"716","Pop_15_ansplus2"
"717","Pop_Femmes_65_ansplus"
"718","Pop_Femmes_75_ansplus"
"719","Pop_Femmes"
"720","Pop_Hommes_65_ansplus"
"721","Pop_Hommes_75_ansplus"
"722","Pop_Hommes"
"723","Pop_65_ansplus"
"724","Pop_20.64_ans"
"725","Pop_0.19_ans"
"726","Pop_75_ansplus"
"727","Pop_60.74_ans"
"728","Pop_45.59_ans"
"729","Pop_30.44_ans"
"730","Pop_15.29_ans"
"731","Pop_0.14_ans"
"732","Pop_80_ansplus"
"733","Pop_65.79_ans"
"734","Pop_55.64_ans_2"
"735","Pop_40.54_ans"
"736","Pop_25.39_ans"
"737","Pop_11.17_ans"
"738","Pop_3.5_ans"
"739","Pop_0.2_ans"
"740","Popution"
"741","Pop_18.24_ans"
"742","Pop_6.10_ans"
"743","Delta_1er_decile_euro"
"744","Delta_1er_quartile_euro"
"745","Delta_2e_decile_euro"
"746","Delta_3e_decile_euro"
"747","Delta_3e_quartile_euro"
"748","Delta_4e_decile_euro"
"749","Delta_6e_decile_euro"
"750","Delta_7e_decile_euro"
"751","Delta_8e_decile_euro"
"752","Delta_9e_decile_euro"
"753","Delta_Adultes_handicapes_hebergement"
"754","Delta_Adultes_handicapes_services_aides"
"755","Delta_Adultes_handicapes_services_soins_domicile"
"756","Delta_Aeroport"
"757","Delta_Agence_immobiliere"
"758","Delta_Agence_postale"
"759","Delta_Agence_travail_temporaire"
"760","Delta_Agence_voyage"
"761","Delta_Aide_sociale_enfance_action_educative"
"762","Delta_Aide_sociale_enfance_hebergement"
"763","Delta_Antenne_justice"
"764","Delta_Athletisme"
"765","Delta_Audio_prothesiste"
"766","Delta_Autre_enseignement_superieur"
"767","Delta_Autre_enseignement_superieur_prive"
"768","Delta_Autre_enseignement_superieur_public"
"769","Delta_Autre_formation_continue"
"770","Delta_Autre_formation_continue_prive"
"771","Delta_Autre_formation_continue_public"
"772","Delta_Autre_formation_post_bac_non_universitaire"
"773","Delta_Autre_formation_post_bac_non_universitaire_prive"
"774","Delta_Autre_formation_post_bac_non_universitaire_public"
"775","Delta_Baignade_amenagee"
"776","Delta_Bassin_natation"
"777","Delta_Boucherie_charcuterie"
"778","Delta_Boucle_randonnee"
"779","Delta_Boulodrome"
"780","Delta_Bowling"
"781","Delta_Bureau_poste"
"782","Delta_Camping"
"783","Delta_Centre_accueil_demandeur_asile"
"784","Delta_Centre_equestre"
"785","Delta_Centre_formation_apprentis_hors_agriculture"
"786","Delta_Centre_formation_apprentis_hors_agriculture_prive"
"787","Delta_Centre_formation_apprentis_hors_agriculture_public"
"788","Delta_Centre_lutte_cancer"
"789","Delta_Centre_medecine_preventive"
"790","Delta_Centre_provisoire_hebergement"
"791","Delta_Centre_sante"
"792","Delta_Chirurgien_dentiste"
"793","Delta_Cinema"
"794","Delta_Coiffure"
"795","Delta_College"
"796","Delta_College_appartenant_un_EP"
"797","Delta_College_appartenant_un_EP_prive"
"798","Delta_College_appartenant_un_EP_public"
"799","Delta_College_prive"
"800","Delta_College_public"
"801","Delta_Conservatoire"
"802","Delta_Controle_technique_auto"
"803","Delta_Cour_appel"
"804","Delta_DDFiP"
"805","Delta_DGFiP"
"806","Delta_DRFiP"
"807","Delta_Dialyse"
"808","Delta_Dieteticien"
"809","Delta_Domaine_skiable"
"810","Delta_Ecole_enseignement_superieur_agricole"
"811","Delta_Ecole_enseignement_superieur_agricole_prive"
"812","Delta_Ecole_enseignement_superieur_agricole_public"
"813","Delta_Ecole_ingenieurs"
"814","Delta_Ecole_ingenieurs_prive"
"815","Delta_Ecole_ingenieurs_public"
"816","Delta_Elev_Etud_Stag_non_remuneres_15.64_ans"
"817","Delta_Enfants_handicapes_hebergement"
"818","Delta_Enseignement_general_superieur_prive"
"819","Delta_Enseignement_general_superieur_prive2"
"820","Delta_Epicerie"
"821","Delta_Ergotherapeute"
"822","Delta_Etablissement_psychiatrique"
"823","Delta_Etablissement_sante_court_sejour"
"824","Delta_Etablissement_sante_long_sejour"
"825","Delta_Etablissement_sante_moyen_sejour"
"826","Delta_Formation_commerce"
"827","Delta_Formation_commerce_prive"
"828","Delta_Formation_commerce_public"
"829","Delta_Formation_sante"
"830","Delta_Formation_sante_prive"
"831","Delta_Formation_sante_public"
"832","Delta_GRETA"
"833","Delta_GRETA_prive"
"834","Delta_GRETA_public"
"835","Delta_Gendarmerie"
"836","Delta_Horlogerie_Bijouterie"
"837","Delta_Hospitalisation_domicile"
"838","Delta_Hotel"
"839","Delta_Hypermarche"
"840","Delta_Indice_Gini"
"841","Delta_Infirmier"
"842","Delta_Information_Touristique"
"843","Delta_Institut_universitaire"
"844","Delta_Institut_universitaire_prive"
"845","Delta_Institut_universitaire_public"
"846","Delta_Librairie_papeterie_journaux"
"847","Delta_Location_auto.utilitaires_legers"
"848","Delta_Lycee_enseignement_professionnel"
"849","Delta_Lycee_enseignement_professionnel_appartenant_un_EP"
"850","Delta_Lycee_enseignement_professionnel_appartenant_un_EP_prive"
"851","Delta_Lycee_enseignement_professionnel_appartenant_un_EP_public"
"852","Delta_Lycee_enseignement_professionnel_prive"
"853","Delta_Lycee_enseignement_professionnel_public"
"854","Delta_Magasin_chaussures"
"855","Delta_Magasin_meubles"
"856","Delta_Magasin_optique"
"857","Delta_Magasin_vetements"
"858","Delta_Maison_sante_pluridisciplinaires"
"859","Delta_Masseur_kinesitherapeute"
"860","Delta_Maternite"
"861","Delta_Mediane_euro"
"862","Delta_Musee"
"863","Delta_Nombre_salles_dans_le_cinema"
"864","Delta_Orthophoniste"
"865","Delta_Orthoptiste"
"866","Delta_Parcours_sportif_sante"
"867","Delta_Pedicure.podologue"
"868","Delta_Pharmacie"
"869","Delta_Poissonnerie"
"870","Delta_Police"
"871","Delta_Pompes_funebres"
"872","Delta_Pop_men_fam_princ_Couple_sans_enfant"
"873","Delta_Produits_surgeles"
"874","Delta_Psychologue"
"875","Delta_Psychomotricien"
"876","Delta_REGION"
"877","Delta_Rapport_interdecile_D9_D1"
"878","Delta_Reseau_partenarial_pole_emploi"
"879","Delta_Reseau_proximite_pole_emploi"
"880","Delta_Reseau_specialise_pole_emploi"
"881","Delta_Residence_universitaire"
"882","Delta_Residence_universitaire_prive"
"883","Delta_Residence_universitaire_public"
"884","Delta_Restaurant_universitaire"
"885","Delta_Restaurant_universitaire_prive"
"886","Delta_Restaurant_universitaire_public"
"887","Delta_S80_S20"
"888","Delta_SEP_section_enseignement_professionnel"
"889","Delta_SEP_section_enseignement_professionnel_prive"
"890","Delta_SEP_section_enseignement_professionnel_public"
"891","Delta_Sage.femme"
"892","Delta_Salles_combat"
"893","Delta_Salles_multisports_gymnase"
"894","Delta_Salles_non_specialisees"
"895","Delta_Salles_remise_forme"
"896","Delta_Salles_specialisees"
"897","Delta_Sports_nautiques"
"898","Delta_Station_service"
"899","Delta_Superette"
"900","Delta_Superficie"
"901","Delta_Supermarche"
"902","Delta_Tennis"
"903","Delta_Terrain_golf"
"904","Delta_Terrains_grands_jeux"
"905","Delta_Transfusion_sanguine"
"906","Delta_Travail_protege"
"907","Delta_Tribunal_commerce"
"908","Delta_Tribunal_grande_instance"
"909","Delta_Tribunal_instance"
"910","Delta_Urgences"
"911","Delta_Veterinaire"
"912","Delta_ecole_conduite"
"913","Delta_ecole_elementaire"
"914","Delta_ecole_elementaire_RPIC"
"915","Delta_ecole_elementaire_RPIC_prive"
"916","Delta_ecole_elementaire_RPIC_public"
"917","Delta_ecole_elementaire_RPI_disperse"
"918","Delta_ecole_elementaire_RPI_disperse_appartenant_un_EP"
"919","Delta_ecole_elementaire_RPI_disperse_prive"
"920","Delta_ecole_elementaire_RPI_disperse_public"
"921","Delta_ecole_elementaire_appartenant_un_EP"
"922","Delta_ecole_elementaire_appartenant_un_EP_prive"
"923","Delta_ecole_elementaire_appartenant_un_EP_public"
"924","Delta_ecole_elementaire_prive"
"925","Delta_ecole_elementaire_public"
"926","Delta_ecole_maternelle"
"927","Delta_ecole_maternelle_RPIC"
"928","Delta_ecole_maternelle_RPIC_appartenant_un_EP"
"929","Delta_ecole_maternelle_RPIC_appartenant_un_EP_prive"
"930","Delta_ecole_maternelle_RPIC_appartenant_un_EP_public"
"931","Delta_ecole_maternelle_RPIC_prive"
"932","Delta_ecole_maternelle_RPIC_public"
"933","Delta_ecole_maternelle_RPI_disperse"
"934","Delta_ecole_maternelle_RPI_disperse_prive"
"935","Delta_ecole_maternelle_RPI_disperse_public"
"936","Delta_ecole_maternelle_appartenant_un_EP"
"937","Delta_ecole_maternelle_appartenant_un_EP_prive"
"938","Delta_ecole_maternelle_appartenant_un_EP_public"
"939","Delta_ecole_maternelle_prive"
"940","Delta_ecole_maternelle_public"
"941","Delta_electricien"
"942","Delta_equipement_cyclisme"
"943","Delta_etablissement_thermal"
"944","Delta_Res_princ_30_moins_40_m2"
"945","Delta_Res_princ_40_moins_60_m2"
"946","Delta_Res_princ_60_moins_80_m2"
"947","Delta_Res_princ_80_moins_100_m2"
"948","Delta_Res_princ_100_moins_120_m2"
"949","Delta_Pop_men_emmenages_moins_2_ans"
"950","Delta_Pop_men_emmenages_entre_2.4_ans"
"951","Delta_Pop_men_emmenages_entre_5.9_ans"
"952","Delta_Pers_Res_princ_HLM_louees_vides"
"953","Delta_Anc_tot_Emmengt_Res_princ_annees"
"954","Delta_Res_princ_SDB_baignoire_douche_MET"
"955","Delta_Res_princ_Chauffage_Central_Collectif_MET"
"956","Delta_Res_princ_Chauffage_Central_Individuel_MET"
"957","Delta_Actifs_occ_15.64_ans_Agriculteurs_exploitants"
"958","Delta_Men_fam_princ_Couple_sans_enfant"
"959","Delta_Pop_men_fam_princ_Famille_mono"
"960","Delta_Pop_men_Pers_Ref_Prof_intermediaire"
"961","Delta_Fam_0_enfant_moins_25_ans"
"962","Delta_Fam_1_enfant_moins_25_ans"
"963","Delta_Fam_2_enfants_moins_25_ans"
"964","Delta_Fam_3_enfants_moins_25_ans"
"965","Delta_Fam_4_enfantsplus_moins_25_ans"
"966","Delta_Fam_Couple_sans_enfant"
"967","Delta_Fam_Monoparentales"
"968","Delta_Fam_Couple_enfant_s"
"969","Delta_Familles"
"970","Delta_Pop_men_Pers_Ref_Autre"
"971","Delta_Pop_men_Pers_Ref_Retraite"
"972","Delta_Pop_men_Pers_Ref_Ouvrier"
"973","Delta_Pop_men_Pers_Ref_Employe"
"974","Delta_Pop_men_Pers_Ref_Agri_expl"
"975","Delta_Menages_Pers_Ref_Autre"
"976","Delta_Menages_Pers_Ref_Retraite"
"977","Delta_Menages_Pers_Ref_Ouvrier"
"978","Delta_Menages_Pers_Ref_Employe"
"979","Delta_Menages_Pers_Ref_Prof_intermediaire"
"980","Delta_Menages_Pers_Ref_Agri_expl"
"981","Delta_Pop_15_ansplus_Non_mariee"
"982","Delta_Pop_15_ansplus_Mariee"
"983","Delta_Pop_80_ansplus_vivant_seule"
"984","Delta_Pop_55.79_ans_vivant_seule"
"985","Delta_Pop_25.54_ans_vivant_seule"
"986","Delta_Pop_15.24_ans_vivant_seule"
"987","Delta_Pop_15_ansplus_ans_vivant_seule"
"988","Delta_Pop_men_80_ansplus"
"989","Delta_Pop_men_55.79_ans"
"990","Delta_Pop_men_25.54_ans"
"991","Delta_Pop_men_15.24_ans"
"992","Delta_Pop_men_15_ansplus"
"993","Delta_Pop_80_ansplus_2"
"994","Delta_Pop_55.79_ans"
"995","Delta_Pop_25.54_ans_2"
"996","Delta_Pop_15.24_ans_2"
"997","Delta_Pop_15_ansplus"
"998","Delta_Pop_men_fam_princ_Couple_enfant_s"
"999","Delta_Pop_men_famille_s"
"1000","Delta_Pop_men_Autres_sans_famille"
"1001","Delta_Pop_men_Femmes_seules"
"1002","Delta_Pop_men_Hommes_seuls"
"1003","Delta_Pop_men_Personnes_seules"
"1004","Delta_Pop_Menages"
"1005","Delta_Men_fam_princ_Famille_mono"
"1006","Delta_Men_fam_princ_Couple_enfant_s"
"1007","Delta_Menages_famille_s"
"1008","Delta_Menages_Autres_sans_famille"
"1009","Delta_Menages_Femmes_seules"
"1010","Delta_Menages_Hommes_seuls"
"1011","Delta_Menages_1_personne"
"1012","Delta_Menages"
"1013","Delta_Actif_occ_15_ansplus_transport_commun"
"1014","Delta_Actif_occ_15_ansplus_voiture_camion"
"1015","Delta_Actif_occ_15_ansplus_deux_roues"
"1016","Delta_Actif_occ_15_ansplus_marche_pied"
"1017","Delta_Actif_occ_15_ansplus_pas_transport"
"1018","Delta_Actif_occ_15_ansplus"
"1019","Delta_Actif_occ_15_ansplus_travaille_autre_region_hors_metropole"
"1020","Delta_Actif_occ_15_ansplus_travaille_autre_region_metropole"
"1021","Delta_Actif_occ_15_ansplus_travaille_autre_dept_meme_region_residence"
"1022","Delta_Actif_occ_15_ansplus_travaille_autre_commune_meme_dept_residence"
"1023","Delta_Actif_occ_15_ansplus_travaille_autre_commune_que_commune_residence"
"1024","Delta_Actif_occ_15_ansplus_travaille_commune_residence"
"1025","Delta_Non.saries_15_ansplus_Aides_familiaux"
"1026","Delta_Non.saries_15_ansplus_Employeurs"
"1027","Delta_Non.saries_15_ansplus_Independants"
"1028","Delta_Saries_15_ansplus_Apprentissage.Stage"
"1029","Delta_Saries_15_ansplus_Emplois_aides"
"1030","Delta_Saries_15_ansplus_Interim"
"1031","Delta_Saries_15_ansplus_CDD"
"1032","Delta_Saries_15_ansplus_Fonct_publ_CDI"
"1033","Delta_Non.saries_15_ansplus_TP"
"1034","Delta_Saries_15_ansplus_TP_Femmes"
"1035","Delta_Saries_15_ansplus_TP_Hommes"
"1036","Delta_Saries_15_ansplus_TP"
"1037","Delta_Actifs_occ_15_ansplus_TP"
"1038","Delta_Non.saries_15_ansplus_Femmes"
"1039","Delta_Non.saries_15_ansplus_Hommes"
"1040","Delta_Non.saries_15_ansplus"
"1041","Delta_Saries_15_ansplus_Femmes"
"1042","Delta_Saries_15_ansplus_Hommes"
"1043","Delta_Saries_15_ansplus"
"1044","Delta_Actifs_occupes_15_ansplus_Femmes"
"1045","Delta_Actifs_occupes_15_ansplus_Hommes"
"1046","Delta_Actifs_occupes_15_ansplus"
"1047","Delta_Actifs_occupes_15.64_ans_Ouvriers"
"1048","Delta_Actifs_occupes_15.64_ans_Employes"
"1049","Delta_Actifs_occ_15.64_ans_Prof_intermediaires"
"1050","Delta_Actifs_occ_15.64_ans_Cadres_Prof_intel_sup"
"1051","Delta_Actifs_occ_15.64_ans_Artisans_Comm_Chefs_entr"
"1052","Delta_Actifs_occupes_15.64_ans"
"1053","Delta_Actifs_15.64_ans_Ouvriers"
"1054","Delta_Actifs_15.64_ans_Employes"
"1055","Delta_Actifs_15.64_ans_Prof_intermediaires"
"1056","Delta_Actifs_15.64_ans_Cadres_Prof_intel_sup"
"1057","Delta_Actifs_15.64_ans_Artisans_Comm_Chefs_entr"
"1058","Delta_Actifs_15.64_ans_Agriculteurs_exploitants"
"1059","Delta_Actifs_15.64_ans"
"1060","Delta_Autres_inactifs_15.64_ans_Femmes"
"1061","Delta_Autres_inactifs_15.64_ans_Hommes"
"1062","Delta_Autres_inactifs_15.64_ans"
"1063","Delta_Retraites_Preretraites_15.64_ans_Femmes"
"1064","Delta_Retraites_Preretraites_15.64_ans_Hommes"
"1065","Delta_Retraites_Preretraites_15.64_ans"
"1066","Delta_Elev_Etud_Stag_non_remuneres_15.64_ans_Femmes"
"1067","Delta_Elev_Etud_Stag_non_remuneres_15.64_ans_Hommes"
"1068","Delta_Inactifs_15.64_ans_Femmes"
"1069","Delta_Inactifs_15.64_ans_Hommes"
"1070","Delta_Inactifs_15.64_ans"
"1071","Delta_Chomeurs_15.64_ans_Femmes"
"1072","Delta_Chomeurs_15.64_ans_Hommes"
"1073","Delta_Chomeurs_55.64_ans"
"1074","Delta_Chomeurs_25.54_ans"
"1075","Delta_Chomeurs_15.24_ans"
"1076","Delta_Chomeurs_15.64_ans"
"1077","Delta_Actifs_occupes_55.64_ans_Femmes"
"1078","Delta_Actifs_occupes_25.54_ans_Femmes"
"1079","Delta_Actifs_occupes_15.24_ans_Femmes"
"1080","Delta_Actifs_occupes_15.64_ans_Femmes"
"1081","Delta_Actifs_occupes_55.64_ans_Hommes"
"1082","Delta_Actifs_occupes_25.54_ans_Hommes"
"1083","Delta_Actifs_occupes_15.24_ans_Hommes"
"1084","Delta_Actifs_occupes_15.64_ans_Hommes"
