Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_30_days_after_2nd_dose,positive_31_90_days_after_2nd_dose,positive_above_90_days_after_2nd_dose,positive_1_6_days_after_3rd_dose,positive_7_13_days_after_3rd_dose,positive_14_20_days_after_3rd_dose,positive_above_20_days_after_3rd_dose,Sum_positive_without_vaccination
2021-05-30 - 2021-06-05,60-69,,,,,,,,,9.0,,,,,<5
2021-05-30 - 2021-06-05,70-79,,,,,,,,,,,,,,<5
2021-05-30 - 2021-06-05,80-89,,,,,,,,,<5,,,,,0
2021-06-06 - 2021-06-12,0-19,,,,,,,,,,,,,,21
2021-06-06 - 2021-06-12,20-29,<5,,,,,,<5,<5,<5,,,,,9
2021-06-06 - 2021-06-12,30-39,,,,,,,,<5,<5,,,,,<5
2021-06-06 - 2021-06-12,40-49,,,,<5,,,,<5,<5,,,,,<5
2021-06-06 - 2021-06-12,50-59,,,,,,,,<5,9.0,,,,,<5
2021-06-06 - 2021-06-12,60-69,,,,,,,,,5.0,,,,,<5
2021-06-06 - 2021-06-12,70-79,,,,,,,,,<5,,,,,<5
2021-06-06 - 2021-06-12,80-89,,,,,,,,<5,<5,,,,,0
2021-06-13 - 2021-06-19,0-19,<5,,,,,,,,<5,,,,,92
2021-06-13 - 2021-06-19,20-29,,,,,,,,<5,7.0,,,,,<5
2021-06-13 - 2021-06-19,30-39,<5,,,,,,,<5,6.0,,,,,6
2021-06-13 - 2021-06-19,40-49,,,,<5,,,,<5,16.0,,,,,8
2021-06-13 - 2021-06-19,50-59,<5,,,,,,,,8.0,,,,,<5
2021-06-13 - 2021-06-19,60-69,,,,<5,,,,,5.0,,,,,<5
2021-06-13 - 2021-06-19,70-79,,,,,,,,,<5,,,,,0
2021-06-13 - 2021-06-19,80-89,,,,,,,,,,,,,,<5
2021-06-13 - 2021-06-19,90+,,,,,,,,,<5,,,,,0
2021-06-20 - 2021-06-26,0-19,16.0,14.0,6.0,<5,,,,<5,22.0,,,,,505
2021-06-20 - 2021-06-26,20-29,,,,,,,,<5,43.0,,,,,20
2021-06-20 - 2021-06-26,30-39,,,,,,,,<5,29.0,,,,,11
2021-06-20 - 2021-06-26,40-49,,,,,,,,<5,86.0,,,,,19
2021-06-20 - 2021-06-26,50-59,,,<5,<5,,,,<5,73.0,,,,,5
2021-06-20 - 2021-06-26,60-69,,,,,,,,,71.0,,,,,10
2021-06-20 - 2021-06-26,70-79,,,,<5,,,,,44.0,,,,,<5
2021-06-20 - 2021-06-26,80-89,,,,,,,,,9.0,,,,,0
2021-06-20 - 2021-06-26,90+,,,,,,,,,<5,,,,,0
2021-06-27 - 2021-07-03,0-19,32.0,21.0,7.0,<5,,,,,23.0,,,,,834
2021-06-27 - 2021-07-03,20-29,,,,,,,,<5,96.0,,,,,26
2021-06-27 - 2021-07-03,30-39,,,,<5,,,,<5,131.0,,,,,33
2021-06-27 - 2021-07-03,40-49,,,,<5,,,,6.0,174.0,,,,,32
2021-06-27 - 2021-07-03,50-59,,,,<5,,,,,125.0,,,,,20
2021-06-27 - 2021-07-03,60-69,,,,,,,<5,<5,132.0,,,,,18
2021-06-27 - 2021-07-03,70-79,,,,,,,,,89.0,,,,,7
2021-06-27 - 2021-07-03,80-89,,,,,,,,,23.0,,,,,<5
2021-06-27 - 2021-07-03,90+,,,,,,,,,<5,,,,,0
2021-07-04 - 2021-07-10,0-19,31.0,62.0,9.0,<5,<5,<5,,<5,54.0,,,,,1228
2021-07-04 - 2021-07-10,20-29,,,,<5,,,<5,9.0,207.0,,,,,62
2021-07-04 - 2021-07-10,30-39,,,,<5,,,,<5,247.0,,,,,83
2021-07-04 - 2021-07-10,40-49,<5,<5,,<5,,,,5.0,351.0,,,,,53
2021-07-04 - 2021-07-10,50-59,,,,<5,,,,<5,237.0,,,,,26
2021-07-04 - 2021-07-10,60-69,,,<5,<5,,,,<5,225.0,,,,,13
2021-07-04 - 2021-07-10,70-79,<5,,,<5,,,,,143.0,,,,,12
2021-07-04 - 2021-07-10,80-89,,,<5,,,,,<5,43.0,,,,,6
2021-07-04 - 2021-07-10,90+,,,,<5,,,,,8.0,,,,,<5
2021-07-11 - 2021-07-17,0-19,22.0,81.0,44.0,10.0,<5,<5,,7.0,159.0,,,,,1758
2021-07-11 - 2021-07-17,20-29,<5,<5,<5,12.0,,,,12.0,432.0,,,,,125
2021-07-11 - 2021-07-17,30-39,<5,<5,<5,8.0,,,,9.0,475.0,,,,,127
2021-07-11 - 2021-07-17,40-49,,,<5,11.0,,,,6.0,554.0,,,,,109
2021-07-11 - 2021-07-17,50-59,<5,<5,,<5,,,<5,<5,363.0,,,,,52
2021-07-11 - 2021-07-17,60-69,,,,<5,,,,<5,361.0,,,,,32
2021-07-11 - 2021-07-17,70-79,,,,,,,,<5,235.0,,,,,13
2021-07-11 - 2021-07-17,80-89,,,,,,,,,69.0,,,,,8
2021-07-11 - 2021-07-17,90+,,,,,,,,,14.0,,,,,<5
2021-07-18 - 2021-07-24,0-19,7.0,53.0,65.0,25.0,29.0,8.0,,9.0,272.0,,,,,3026
2021-07-18 - 2021-07-24,20-29,<5,,,14.0,<5,,,25.0,736.0,,,,,194
2021-07-18 - 2021-07-24,30-39,,<5,<5,22.0,,,<5,9.0,893.0,,,,,243
2021-07-18 - 2021-07-24,40-49,,,<5,12.0,,,<5,12.0,910.0,,,,,166
2021-07-18 - 2021-07-24,50-59,,,,6.0,,,,5.0,579.0,,,,,100
2021-07-18 - 2021-07-24,60-69,<5,,<5,<5,,,,<5,584.0,,,,,46
2021-07-18 - 2021-07-24,70-79,,<5,,<5,,,,<5,347.0,,,,,19
2021-07-18 - 2021-07-24,80-89,,,,,,,<5,,147.0,,,,,13
2021-07-18 - 2021-07-24,90+,,,,<5,,,,,33.0,,,,,9
2021-07-25 - 2021-07-31,0-19,21.0,18.0,24.0,90.0,36.0,25.0,10.0,15.0,530.0,,,,,4888
2021-07-25 - 2021-07-31,20-29,<5,<5,,33.0,,<5,,24.0,1251.0,,,,,418
2021-07-25 - 2021-07-31,30-39,<5,,5.0,30.0,<5,<5,<5,20.0,1530.0,,,,,430
2021-07-25 - 2021-07-31,40-49,,<5,,21.0,<5,<5,,10.0,1472.0,,,,,294
2021-07-25 - 2021-07-31,50-59,<5,,,12.0,,<5,<5,8.0,1015.0,,,,,170
2021-07-25 - 2021-07-31,60-69,,,,7.0,,,,7.0,1020.0,,,,,92
2021-07-25 - 2021-07-31,70-79,,<5,,7.0,,,,<5,656.0,,,,,54
2021-07-25 - 2021-07-31,80-89,,,,5.0,,,,<5,281.0,,,,,33
2021-07-25 - 2021-07-31,90+,,,<5,<5,,,,<5,83.0,,,,,7
2021-08-01 - 2021-08-07,0-19,39.0,51.0,21.0,87.0,40.0,38.0,22.0,21.0,748.0,,,,,8037
2021-08-01 - 2021-08-07,20-29,<5,5.0,<5,56.0,<5,<5,<5,25.0,2153.0,,,,,749
2021-08-01 - 2021-08-07,30-39,,6.0,,38.0,<5,<5,<5,30.0,2314.0,,,,,655
2021-08-01 - 2021-08-07,40-49,,<5,<5,24.0,,,<5,15.0,2432.0,<5,,,,487
2021-08-01 - 2021-08-07,50-59,,5.0,<5,18.0,,<5,,9.0,1671.0,<5,,,,296
2021-08-01 - 2021-08-07,60-69,,<5,,10.0,,<5,,<5,1335.0,93.0,<5,,,174
2021-08-01 - 2021-08-07,70-79,<5,<5,,10.0,<5,<5,<5,<5,841.0,79.0,,,,85
2021-08-01 - 2021-08-07,80-89,,,,<5,,<5,,<5,402.0,51.0,,,,49
2021-08-01 - 2021-08-07,90+,,<5,,<5,,,,,106.0,8.0,,,,21
2021-08-08 - 2021-08-14,0-19,53.0,96.0,56.0,97.0,15.0,26.0,75.0,50.0,1208.0,,,,,12425
2021-08-08 - 2021-08-14,20-29,<5,<5,5.0,126.0,,<5,<5,36.0,3742.0,,,,,1321
2021-08-08 - 2021-08-14,30-39,9.0,<5,<5,88.0,,<5,<5,38.0,4064.0,<5,,,,1200
2021-08-08 - 2021-08-14,40-49,<5,<5,<5,65.0,,<5,<5,19.0,3906.0,<5,,,,796
2021-08-08 - 2021-08-14,50-59,<5,<5,<5,34.0,,<5,<5,12.0,2894.0,9.0,<5,,,476
2021-08-08 - 2021-08-14,60-69,,,,19.0,,,,<5,1571.0,401.0,246.0,,,294
2021-08-08 - 2021-08-14,70-79,<5,<5,<5,6.0,,,,<5,931.0,272.0,200.0,<5,,125
2021-08-08 - 2021-08-14,80-89,<5,,,6.0,<5,<5,<5,11.0,387.0,112.0,86.0,,,82
2021-08-08 - 2021-08-14,90+,,,<5,<5,<5,,<5,<5,72.0,27.0,27.0,,,36
2021-08-15 - 2021-08-21,0-19,120.0,184.0,58.0,133.0,25.0,12.0,111.0,92.0,1496.0,,,,,18389
2021-08-15 - 2021-08-21,20-29,11.0,16.0,<5,173.0,7.0,<5,6.0,35.0,5429.0,,,,,1925
2021-08-15 - 2021-08-21,30-39,8.0,13.0,8.0,122.0,6.0,6.0,6.0,47.0,5684.0,21.0,<5,,,1673
2021-08-15 - 2021-08-21,40-49,6.0,<5,<5,73.0,5.0,<5,<5,19.0,5074.0,61.0,8.0,<5,,1056
2021-08-15 - 2021-08-21,50-59,<5,<5,<5,50.0,8.0,,<5,9.0,2956.0,479.0,37.0,<5,,617
2021-08-15 - 2021-08-21,60-69,<5,5.0,,17.0,<5,,,8.0,1294.0,308.0,402.0,74.0,<5,380
2021-08-15 - 2021-08-21,70-79,<5,<5,<5,6.0,,<5,,<5,556.0,192.0,294.0,49.0,<5,240
2021-08-15 - 2021-08-21,80-89,,<5,<5,6.0,<5,<5,<5,<5,292.0,65.0,150.0,21.0,<5,111
2021-08-15 - 2021-08-21,90+,<5,<5,,<5,,<5,,<5,73.0,21.0,28.0,9.0,,42
2021-08-22 - 2021-08-28,0-19,212.0,306.0,121.0,167.0,40.0,20.0,78.0,207.0,2114.0,,,,,23291
2021-08-22 - 2021-08-28,20-29,31.0,27.0,7.0,207.0,6.0,<5,16.0,43.0,7101.0,,,,,2411
2021-08-22 - 2021-08-28,30-39,13.0,31.0,7.0,175.0,<5,6.0,8.0,42.0,6560.0,194.0,21.0,<5,,2138
2021-08-22 - 2021-08-28,40-49,6.0,9.0,<5,103.0,<5,<5,<5,10.0,4917.0,686.0,123.0,<5,,1393
2021-08-22 - 2021-08-28,50-59,8.0,6.0,<5,51.0,8.0,<5,<5,6.0,2304.0,526.0,596.0,12.0,<5,736
2021-08-22 - 2021-08-28,60-69,6.0,<5,<5,31.0,<5,,<5,<5,1028.0,157.0,261.0,109.0,48.0,433
2021-08-22 - 2021-08-28,70-79,,<5,<5,11.0,,,<5,<5,398.0,58.0,161.0,102.0,40.0,215
2021-08-22 - 2021-08-28,80-89,<5,<5,5.0,<5,,<5,<5,<5,191.0,25.0,84.0,59.0,17.0,107
2021-08-22 - 2021-08-28,90+,,,<5,<5,,,<5,<5,50.0,<5,15.0,23.0,7.0,28
2021-08-29 - 2021-09-04,0-19,275.0,591.0,224.0,207.0,59.0,26.0,33.0,461.0,2523.0,114.0,,,,28440
2021-08-29 - 2021-09-04,20-29,25.0,40.0,18.0,234.0,6.0,<5,<5,27.0,6754.0,345.0,,,,2646
2021-08-29 - 2021-09-04,30-39,15.0,50.0,10.0,158.0,7.0,7.0,9.0,40.0,5797.0,708.0,293.0,12.0,<5,2382
2021-08-29 - 2021-09-04,40-49,14.0,19.0,6.0,112.0,<5,<5,<5,16.0,3899.0,622.0,632.0,35.0,<5,1558
2021-08-29 - 2021-09-04,50-59,6.0,9.0,<5,58.0,,<5,<5,5.0,1687.0,190.0,335.0,147.0,<5,764
2021-08-29 - 2021-09-04,60-69,7.0,10.0,6.0,25.0,,<5,<5,10.0,713.0,77.0,125.0,75.0,147.0,458
2021-08-29 - 2021-09-04,70-79,<5,<5,5.0,13.0,<5,,,<5,307.0,17.0,56.0,58.0,115.0,186
2021-08-29 - 2021-09-04,80-89,<5,<5,,9.0,,<5,,<5,143.0,12.0,57.0,30.0,65.0,96
2021-08-29 - 2021-09-04,90+,,<5,,7.0,,<5,<5,<5,30.0,<5,11.0,6.0,13.0,31
2021-09-05 - 2021-09-11,0-19,129.0,440.0,235.0,213.0,38.0,35.0,36.0,410.0,1642.0,229.0,99.0,,,26447
2021-09-05 - 2021-09-11,20-29,14.0,34.0,11.0,169.0,5.0,<5,<5,30.0,4333.0,515.0,345.0,,,2359
2021-09-05 - 2021-09-11,30-39,11.0,24.0,20.0,156.0,<5,11.0,11.0,36.0,4311.0,343.0,392.0,85.0,11.0,2234
2021-09-05 - 2021-09-11,40-49,12.0,21.0,10.0,84.0,<5,<5,<5,18.0,2634.0,217.0,314.0,145.0,20.0,1561
2021-09-05 - 2021-09-11,50-59,7.0,12.0,6.0,49.0,,<5,<5,5.0,1096.0,82.0,97.0,68.0,111.0,743
2021-09-05 - 2021-09-11,60-69,<5,<5,<5,25.0,,<5,<5,5.0,458.0,31.0,54.0,25.0,169.0,383
2021-09-05 - 2021-09-11,70-79,<5,<5,<5,5.0,<5,<5,<5,<5,196.0,7.0,19.0,20.0,105.0,167
2021-09-05 - 2021-09-11,80-89,,,<5,8.0,,<5,<5,<5,97.0,11.0,9.0,12.0,60.0,103
2021-09-05 - 2021-09-11,90+,<5,<5,,<5,,<5,<5,,22.0,<5,5.0,<5,12.0,35
2021-09-12 - 2021-09-18,0-19,89.0,242.0,232.0,301.0,64.0,31.0,34.0,371.0,1199.0,80.0,79.0,12.0,,27593
2021-09-12 - 2021-09-18,20-29,8.0,26.0,17.0,182.0,<5,6.0,<5,16.0,3779.0,213.0,187.0,47.0,,2406
2021-09-12 - 2021-09-18,30-39,10.0,30.0,20.0,177.0,9.0,<5,11.0,33.0,4340.0,178.0,173.0,168.0,108.0,2379
2021-09-12 - 2021-09-18,40-49,7.0,15.0,14.0,136.0,<5,,<5,26.0,2588.0,115.0,126.0,121.0,205.0,1645
2021-09-12 - 2021-09-18,50-59,<5,5.0,8.0,65.0,<5,,<5,5.0,1010.0,43.0,49.0,49.0,187.0,796
2021-09-12 - 2021-09-18,60-69,<5,<5,5.0,26.0,,,<5,5.0,489.0,6.0,18.0,17.0,211.0,426
2021-09-12 - 2021-09-18,70-79,,,<5,12.0,,<5,,5.0,214.0,11.0,9.0,<5,113.0,191
2021-09-12 - 2021-09-18,80-89,,<5,,<5,<5,,,<5,86.0,<5,<5,<5,64.0,117
2021-09-12 - 2021-09-18,90+,,<5,,<5,,,,<5,20.0,<5,<5,<5,15.0,46
2021-09-19 - 2021-09-25,0-19,58.0,185.0,137.0,288.0,47.0,37.0,32.0,273.0,823.0,28.0,34.0,13.0,6.0,20353
2021-09-19 - 2021-09-25,20-29,7.0,17.0,6.0,172.0,7.0,6.0,5.0,18.0,2518.0,104.0,101.0,50.0,25.0,1754
2021-09-19 - 2021-09-25,30-39,6.0,15.0,15.0,172.0,6.0,<5,<5,30.0,3132.0,80.0,97.0,75.0,220.0,1882
2021-09-19 - 2021-09-25,40-49,<5,15.0,10.0,73.0,<5,,9.0,11.0,1920.0,58.0,84.0,39.0,274.0,1262
2021-09-19 - 2021-09-25,50-59,<5,<5,<5,41.0,,<5,,10.0,812.0,32.0,27.0,16.0,168.0,666
2021-09-19 - 2021-09-25,60-69,,<5,<5,26.0,<5,,,<5,448.0,19.0,13.0,5.0,172.0,358
2021-09-19 - 2021-09-25,70-79,,,<5,5.0,,,,<5,159.0,<5,12.0,<5,122.0,186
2021-09-19 - 2021-09-25,80-89,,,,<5,,,<5,<5,62.0,<5,<5,,59.0,88
2021-09-19 - 2021-09-25,90+,,,,,,,<5,<5,13.0,,<5,,25.0,29
2021-09-26 - 2021-10-02,0-19,62.0,67.0,48.0,192.0,29.0,20.0,25.0,174.0,568.0,17.0,7.0,5.0,15.0,12210
2021-09-26 - 2021-10-02,20-29,8.0,6.0,7.0,106.0,7.0,,<5,21.0,1667.0,60.0,29.0,12.0,53.0,1138
2021-09-26 - 2021-10-02,30-39,<5,<5,7.0,98.0,5.0,<5,<5,19.0,1776.0,76.0,31.0,28.0,183.0,1221
2021-09-26 - 2021-10-02,40-49,<5,<5,5.0,71.0,5.0,<5,,8.0,1186.0,44.0,24.0,23.0,223.0,833
2021-09-26 - 2021-10-02,50-59,<5,,<5,33.0,<5,<5,<5,8.0,466.0,29.0,11.0,<5,161.0,455
2021-09-26 - 2021-10-02,60-69,,,,14.0,,<5,<5,<5,260.0,7.0,5.0,5.0,127.0,232
2021-09-26 - 2021-10-02,70-79,,<5,<5,6.0,,<5,,,106.0,<5,6.0,,88.0,120
2021-09-26 - 2021-10-02,80-89,,,,<5,,,,<5,51.0,<5,<5,<5,50.0,72
2021-09-26 - 2021-10-02,90+,,,,<5,,,,<5,9.0,,,,15.0,16
2021-10-03 - 2021-10-09,0-19,31.0,50.0,22.0,104.0,10.0,16.0,16.0,124.0,359.0,22.0,10.0,<5,17.0,7999
2021-10-03 - 2021-10-09,20-29,<5,7.0,8.0,78.0,<5,<5,,8.0,939.0,81.0,30.0,<5,51.0,918
2021-10-03 - 2021-10-09,30-39,8.0,<5,<5,73.0,6.0,<5,<5,10.0,906.0,87.0,34.0,11.0,117.0,868
2021-10-03 - 2021-10-09,40-49,<5,<5,<5,39.0,<5,<5,<5,5.0,595.0,61.0,24.0,<5,144.0,539
2021-10-03 - 2021-10-09,50-59,<5,<5,<5,20.0,,<5,,<5,306.0,32.0,14.0,<5,91.0,314
2021-10-03 - 2021-10-09,60-69,,,<5,9.0,,,,<5,152.0,12.0,5.0,<5,90.0,167
2021-10-03 - 2021-10-09,70-79,,<5,,<5,,,,<5,62.0,6.0,<5,,63.0,82
2021-10-03 - 2021-10-09,80-89,,,,<5,<5,,,,18.0,,,,39.0,47
2021-10-03 - 2021-10-09,90+,<5,,,,,,<5,,5.0,,,,8.0,8
2021-10-10 - 2021-10-16,0-19,11.0,33.0,16.0,66.0,<5,5.0,9.0,88.0,174.0,9.0,7.0,,10.0,6300
2021-10-10 - 2021-10-16,20-29,<5,8.0,<5,46.0,<5,<5,<5,8.0,438.0,27.0,30.0,7.0,48.0,485
2021-10-10 - 2021-10-16,30-39,<5,9.0,<5,44.0,<5,<5,<5,<5,495.0,22.0,42.0,9.0,121.0,515
2021-10-10 - 2021-10-16,40-49,<5,<5,<5,28.0,<5,,<5,7.0,317.0,19.0,27.0,7.0,147.0,363
2021-10-10 - 2021-10-16,50-59,,<5,,12.0,,,,<5,162.0,9.0,11.0,<5,79.0,176
2021-10-10 - 2021-10-16,60-69,,<5,,<5,<5,,,,94.0,8.0,7.0,<5,63.0,118
2021-10-10 - 2021-10-16,70-79,,,,<5,,,<5,,33.0,<5,,<5,33.0,56
2021-10-10 - 2021-10-16,80-89,,,,<5,,,,,11.0,<5,,<5,20.0,32
2021-10-10 - 2021-10-16,90+,,,,,,,,,5.0,,,,<5,8
2021-10-17 - 2021-10-23,0-19,5.0,13.0,8.0,39.0,<5,<5,7.0,44.0,124.0,<5,6.0,<5,6.0,4206
2021-10-17 - 2021-10-23,20-29,<5,<5,5.0,19.0,<5,,<5,7.0,251.0,5.0,7.0,6.0,33.0,310
2021-10-17 - 2021-10-23,30-39,<5,<5,<5,31.0,,<5,<5,10.0,337.0,14.0,10.0,11.0,107.0,339
2021-10-17 - 2021-10-23,40-49,<5,<5,,12.0,,<5,<5,<5,202.0,10.0,5.0,5.0,129.0,234
2021-10-17 - 2021-10-23,50-59,<5,<5,,9.0,,,,,79.0,<5,<5,<5,59.0,99
2021-10-17 - 2021-10-23,60-69,,,,<5,,,,,52.0,<5,,<5,47.0,58
2021-10-17 - 2021-10-23,70-79,,,,<5,,,,,20.0,,,<5,38.0,36
2021-10-17 - 2021-10-23,80-89,,,,<5,,,,,9.0,,<5,,18.0,15
2021-10-17 - 2021-10-23,90+,,,,,,,,,<5,,<5,,,6
2021-10-24 - 2021-10-30,0-19,<5,<5,<5,32.0,<5,<5,<5,23.0,88.0,<5,<5,<5,7.0,2607
2021-10-24 - 2021-10-30,20-29,<5,,5.0,16.0,,,,<5,136.0,<5,<5,<5,32.0,223
2021-10-24 - 2021-10-30,30-39,,<5,<5,15.0,,<5,<5,<5,200.0,6.0,<5,<5,81.0,240
2021-10-24 - 2021-10-30,40-49,,,<5,12.0,,,,5.0,136.0,<5,<5,,77.0,201
2021-10-24 - 2021-10-30,50-59,,,,<5,,,,<5,57.0,<5,<5,,40.0,82
2021-10-24 - 2021-10-30,60-69,,,,<5,,,,<5,36.0,<5,,,33.0,50
2021-10-24 - 2021-10-30,70-79,,,,,,,,,15.0,,,,25.0,25
2021-10-24 - 2021-10-30,80-89,,,,,,,<5,,5.0,<5,,,8.0,11
2021-10-24 - 2021-10-30,90+,,,,,,,,,<5,<5,,,<5,<5
2021-10-31 - 2021-11-06,0-19,<5,<5,<5,19.0,<5,<5,,23.0,55.0,<5,,,<5,1962
2021-10-31 - 2021-11-06,20-29,,<5,,19.0,,,<5,<5,104.0,<5,<5,<5,36.0,215
2021-10-31 - 2021-11-06,30-39,<5,<5,,19.0,<5,,<5,<5,135.0,6.0,7.0,<5,67.0,234
2021-10-31 - 2021-11-06,40-49,<5,<5,<5,13.0,,,<5,6.0,104.0,5.0,<5,<5,63.0,167
2021-10-31 - 2021-11-06,50-59,,,<5,<5,<5,<5,,<5,35.0,,,<5,26.0,97
2021-10-31 - 2021-11-06,60-69,,,,5.0,,,,,24.0,<5,,,25.0,43
2021-10-31 - 2021-11-06,70-79,,,,,,,,<5,15.0,,,,24.0,24
2021-10-31 - 2021-11-06,80-89,,,<5,<5,,,,,5.0,,,<5,10.0,9
2021-10-31 - 2021-11-06,90+,,,,,,,,,<5,,,,<5,<5
