Week,Age_group,Type_of_event,event_after_1st_dose,event_after_2nd_dose,event_after_3rd_dose,event_for_not_vaccinated
2021-07-25 - 2021-07-31,20-29,Death,,,,
2021-07-25 - 2021-07-31,30-39,Hospitalization,,11.0,,14.0
2021-07-25 - 2021-07-31,30-39,Death,,,,<5
2021-07-25 - 2021-07-31,40-49,Hospitalization,<5,5.0,,20.0
2021-07-25 - 2021-07-31,40-49,Death,,,,
2021-07-25 - 2021-07-31,50-59,Hospitalization,<5,23.0,,19.0
2021-07-25 - 2021-07-31,50-59,Death,,,,
2021-07-25 - 2021-07-31,60-69,Hospitalization,<5,42.0,,17.0
2021-07-25 - 2021-07-31,60-69,Death,,<5,,
2021-07-25 - 2021-07-31,70-79,Hospitalization,7.0,78.0,,18.0
2021-07-25 - 2021-07-31,70-79,Death,,6.0,,<5
2021-07-25 - 2021-07-31,80-89,Hospitalization,<5,89.0,,22.0
2021-07-25 - 2021-07-31,80-89,Death,,5.0,,<5
2021-07-25 - 2021-07-31,90+,Hospitalization,<5,37.0,,6.0
2021-07-25 - 2021-07-31,90+,Death,<5,<5,,<5
2021-08-01 - 2021-08-07,0-19,Hospitalization,,<5,,47.0
2021-08-01 - 2021-08-07,0-19,Death,,,,
2021-08-01 - 2021-08-07,20-29,Hospitalization,<5,6.0,,15.0
2021-08-01 - 2021-08-07,20-29,Death,,,,
2021-08-01 - 2021-08-07,30-39,Hospitalization,<5,21.0,,30.0
2021-08-01 - 2021-08-07,30-39,Death,,,,
2021-08-01 - 2021-08-07,40-49,Hospitalization,,21.0,,27.0
2021-08-01 - 2021-08-07,40-49,Death,,,,
2021-08-01 - 2021-08-07,50-59,Hospitalization,<5,38.0,,34.0
2021-08-01 - 2021-08-07,50-59,Death,,<5,,<5
2021-08-01 - 2021-08-07,60-69,Hospitalization,<5,82.0,5.0,35.0
2021-08-01 - 2021-08-07,60-69,Death,,9.0,,<5
2021-08-01 - 2021-08-07,70-79,Hospitalization,<5,116.0,<5,21.0
2021-08-01 - 2021-08-07,70-79,Death,,14.0,,7.0
2021-08-01 - 2021-08-07,80-89,Hospitalization,,139.0,5.0,37.0
2021-08-01 - 2021-08-07,80-89,Death,,19.0,,<5
2021-08-01 - 2021-08-07,90+,Hospitalization,<5,34.0,<5,13.0
2021-08-01 - 2021-08-07,90+,Death,,14.0,,6.0
2021-08-08 - 2021-08-14,0-19,Hospitalization,<5,7.0,,62.0
2021-08-08 - 2021-08-14,0-19,Death,,,,
2021-08-08 - 2021-08-14,20-29,Hospitalization,<5,23.0,,18.0
2021-08-08 - 2021-08-14,20-29,Death,,,,
2021-08-08 - 2021-08-14,30-39,Hospitalization,<5,32.0,,42.0
2021-08-08 - 2021-08-14,30-39,Death,,,,
2021-08-08 - 2021-08-14,40-49,Hospitalization,<5,24.0,,44.0
2021-08-08 - 2021-08-14,40-49,Death,,,,
2021-08-08 - 2021-08-14,50-59,Hospitalization,<5,62.0,,45.0
2021-08-08 - 2021-08-14,50-59,Death,<5,<5,,
2021-08-08 - 2021-08-14,60-69,Hospitalization,<5,90.0,20.0,62.0
2021-08-08 - 2021-08-14,60-69,Death,,6.0,<5,9.0
2021-08-08 - 2021-08-14,70-79,Hospitalization,<5,119.0,33.0,48.0
2021-08-08 - 2021-08-14,70-79,Death,<5,19.0,,10.0
2021-08-08 - 2021-08-14,80-89,Hospitalization,<5,129.0,39.0,42.0
2021-08-08 - 2021-08-14,80-89,Death,,33.0,<5,19.0
2021-08-08 - 2021-08-14,90+,Hospitalization,<5,36.0,14.0,25.0
2021-08-08 - 2021-08-14,90+,Death,<5,15.0,,<5
2021-08-15 - 2021-08-21,0-19,Hospitalization,<5,10.0,,110.0
2021-08-15 - 2021-08-21,0-19,Death,,,,
2021-08-15 - 2021-08-21,20-29,Hospitalization,<5,35.0,,52.0
2021-08-15 - 2021-08-21,20-29,Death,,,,<5
2021-08-15 - 2021-08-21,30-39,Hospitalization,<5,47.0,,71.0
2021-08-15 - 2021-08-21,30-39,Death,,,,<5
2021-08-15 - 2021-08-21,40-49,Hospitalization,<5,50.0,<5,66.0
2021-08-15 - 2021-08-21,40-49,Death,,,,
2021-08-15 - 2021-08-21,50-59,Hospitalization,<5,68.0,7.0,65.0
2021-08-15 - 2021-08-21,50-59,Death,,<5,,<5
2021-08-15 - 2021-08-21,60-69,Hospitalization,<5,80.0,26.0,83.0
2021-08-15 - 2021-08-21,60-69,Death,,15.0,<5,6.0
2021-08-15 - 2021-08-21,70-79,Hospitalization,<5,87.0,55.0,67.0
2021-08-15 - 2021-08-21,70-79,Death,<5,21.0,5.0,9.0
2021-08-15 - 2021-08-21,80-89,Hospitalization,7.0,94.0,45.0,64.0
2021-08-15 - 2021-08-21,80-89,Death,<5,28.0,8.0,21.0
2021-08-15 - 2021-08-21,90+,Hospitalization,,30.0,16.0,26.0
2021-08-15 - 2021-08-21,90+,Death,,14.0,<5,15.0
2021-08-22 - 2021-08-28,0-19,Hospitalization,<5,5.0,,111.0
2021-08-22 - 2021-08-28,0-19,Death,,,,
2021-08-22 - 2021-08-28,20-29,Hospitalization,5.0,44.0,,52.0
2021-08-22 - 2021-08-28,20-29,Death,,,,
2021-08-22 - 2021-08-28,30-39,Hospitalization,<5,49.0,<5,91.0
2021-08-22 - 2021-08-28,30-39,Death,,,,<5
2021-08-22 - 2021-08-28,40-49,Hospitalization,<5,61.0,6.0,88.0
2021-08-22 - 2021-08-28,40-49,Death,,,,<5
2021-08-22 - 2021-08-28,50-59,Hospitalization,7.0,62.0,9.0,68.0
2021-08-22 - 2021-08-28,50-59,Death,,<5,<5,5.0
2021-08-22 - 2021-08-28,60-69,Hospitalization,5.0,66.0,29.0,94.0
2021-08-22 - 2021-08-28,60-69,Death,,7.0,<5,12.0
2021-08-22 - 2021-08-28,70-79,Hospitalization,7.0,98.0,35.0,80.0
2021-08-22 - 2021-08-28,70-79,Death,,22.0,8.0,15.0
2021-08-22 - 2021-08-28,80-89,Hospitalization,6.0,62.0,51.0,56.0
2021-08-22 - 2021-08-28,80-89,Death,<5,40.0,14.0,21.0
2021-08-22 - 2021-08-28,90+,Hospitalization,,24.0,12.0,25.0
2021-08-22 - 2021-08-28,90+,Death,<5,12.0,5.0,12.0
2021-08-29 - 2021-09-04,0-19,Hospitalization,<5,8.0,,140.0
2021-08-29 - 2021-09-04,0-19,Death,,,,<5
2021-08-29 - 2021-09-04,20-29,Hospitalization,<5,51.0,<5,53.0
2021-08-29 - 2021-09-04,20-29,Death,,,,
2021-08-29 - 2021-09-04,30-39,Hospitalization,6.0,63.0,<5,91.0
2021-08-29 - 2021-09-04,30-39,Death,,,,<5
2021-08-29 - 2021-09-04,40-49,Hospitalization,<5,45.0,7.0,94.0
2021-08-29 - 2021-09-04,40-49,Death,,,,<5
2021-08-29 - 2021-09-04,50-59,Hospitalization,6.0,48.0,14.0,74.0
2021-08-29 - 2021-09-04,50-59,Death,,<5,,<5
2021-08-29 - 2021-09-04,60-69,Hospitalization,5.0,44.0,20.0,103.0
2021-08-29 - 2021-09-04,60-69,Death,<5,12.0,<5,18.0
2021-08-29 - 2021-09-04,70-79,Hospitalization,7.0,49.0,23.0,77.0
2021-08-29 - 2021-09-04,70-79,Death,<5,17.0,10.0,26.0
2021-08-29 - 2021-09-04,80-89,Hospitalization,<5,54.0,40.0,64.0
2021-08-29 - 2021-09-04,80-89,Death,<5,31.0,5.0,32.0
2021-08-29 - 2021-09-04,90+,Hospitalization,5.0,15.0,12.0,19.0
2021-08-29 - 2021-09-04,90+,Death,<5,11.0,5.0,12.0
2021-09-05 - 2021-09-11,0-19,Hospitalization,<5,5.0,<5,136.0
2021-09-05 - 2021-09-11,0-19,Death,,,,
2021-09-05 - 2021-09-11,20-29,Hospitalization,<5,42.0,<5,68.0
2021-09-05 - 2021-09-11,20-29,Death,,,,<5
2021-09-05 - 2021-09-11,30-39,Hospitalization,9.0,56.0,7.0,77.0
2021-09-05 - 2021-09-11,30-39,Death,,<5,,<5
2021-09-05 - 2021-09-11,40-49,Hospitalization,7.0,27.0,8.0,90.0
2021-09-05 - 2021-09-11,40-49,Death,,,,<5
2021-09-05 - 2021-09-11,50-59,Hospitalization,9.0,37.0,6.0,71.0
2021-09-05 - 2021-09-11,50-59,Death,,<5,,<5
2021-09-05 - 2021-09-11,60-69,Hospitalization,6.0,28.0,15.0,95.0
2021-09-05 - 2021-09-11,60-69,Death,<5,12.0,<5,16.0
2021-09-05 - 2021-09-11,70-79,Hospitalization,<5,35.0,17.0,63.0
2021-09-05 - 2021-09-11,70-79,Death,<5,17.0,8.0,21.0
2021-09-05 - 2021-09-11,80-89,Hospitalization,6.0,37.0,28.0,50.0
2021-09-05 - 2021-09-11,80-89,Death,<5,19.0,12.0,26.0
2021-09-05 - 2021-09-11,90+,Hospitalization,<5,10.0,<5,25.0
2021-09-05 - 2021-09-11,90+,Death,<5,10.0,<5,17.0
2021-09-12 - 2021-09-18,0-19,Hospitalization,<5,7.0,<5,150.0
2021-09-12 - 2021-09-18,0-19,Death,,,,
2021-09-12 - 2021-09-18,20-29,Hospitalization,<5,41.0,<5,69.0
2021-09-12 - 2021-09-18,20-29,Death,,,,<5
2021-09-12 - 2021-09-18,30-39,Hospitalization,8.0,33.0,<5,118.0
2021-09-12 - 2021-09-18,30-39,Death,,,,<5
2021-09-12 - 2021-09-18,40-49,Hospitalization,6.0,27.0,10.0,99.0
2021-09-12 - 2021-09-18,40-49,Death,,,,<5
2021-09-12 - 2021-09-18,50-59,Hospitalization,<5,31.0,<5,91.0
2021-09-12 - 2021-09-18,50-59,Death,<5,<5,<5,<5
2021-09-12 - 2021-09-18,60-69,Hospitalization,<5,27.0,10.0,93.0
2021-09-12 - 2021-09-18,60-69,Death,<5,5.0,<5,21.0
2021-09-12 - 2021-09-18,70-79,Hospitalization,<5,38.0,17.0,60.0
2021-09-12 - 2021-09-18,70-79,Death,<5,11.0,5.0,18.0
2021-09-12 - 2021-09-18,80-89,Hospitalization,<5,35.0,26.0,77.0
2021-09-12 - 2021-09-18,80-89,Death,<5,7.0,8.0,26.0
2021-09-12 - 2021-09-18,90+,Hospitalization,6.0,10.0,<5,28.0
2021-09-12 - 2021-09-18,90+,Death,<5,<5,<5,13.0
2021-09-19 - 2021-09-25,0-19,Hospitalization,,<5,,106.0
2021-09-19 - 2021-09-25,0-19,Death,,,,
2021-09-19 - 2021-09-25,20-29,Hospitalization,5.0,29.0,<5,59.0
2021-09-19 - 2021-09-25,20-29,Death,,<5,,
2021-09-19 - 2021-09-25,30-39,Hospitalization,5.0,25.0,<5,88.0
2021-09-19 - 2021-09-25,30-39,Death,,,,<5
2021-09-19 - 2021-09-25,40-49,Hospitalization,6.0,27.0,<5,87.0
2021-09-19 - 2021-09-25,40-49,Death,,<5,,<5
2021-09-19 - 2021-09-25,50-59,Hospitalization,<5,13.0,<5,91.0
2021-09-19 - 2021-09-25,50-59,Death,<5,<5,<5,6.0
2021-09-19 - 2021-09-25,60-69,Hospitalization,<5,28.0,10.0,71.0
2021-09-19 - 2021-09-25,60-69,Death,<5,<5,<5,16.0
2021-09-19 - 2021-09-25,70-79,Hospitalization,5.0,29.0,14.0,63.0
2021-09-19 - 2021-09-25,70-79,Death,<5,12.0,<5,20.0
2021-09-19 - 2021-09-25,80-89,Hospitalization,5.0,32.0,14.0,43.0
2021-09-19 - 2021-09-25,80-89,Death,<5,14.0,<5,29.0
2021-09-19 - 2021-09-25,90+,Hospitalization,<5,7.0,15.0,22.0
2021-09-19 - 2021-09-25,90+,Death,<5,6.0,<5,9.0
2021-09-26 - 2021-10-02,0-19,Hospitalization,<5,<5,<5,90.0
2021-09-26 - 2021-10-02,0-19,Death,,,,
2021-09-26 - 2021-10-02,20-29,Hospitalization,<5,19.0,<5,69.0
2021-09-26 - 2021-10-02,20-29,Death,,,,
2021-09-26 - 2021-10-02,30-39,Hospitalization,5.0,14.0,<5,71.0
2021-09-26 - 2021-10-02,30-39,Death,,,,<5
2021-09-26 - 2021-10-02,40-49,Hospitalization,<5,17.0,6.0,66.0
2021-09-26 - 2021-10-02,40-49,Death,,<5,,7.0
2021-09-26 - 2021-10-02,50-59,Hospitalization,<5,19.0,6.0,59.0
2021-09-26 - 2021-10-02,50-59,Death,,,,13.0
2021-09-26 - 2021-10-02,60-69,Hospitalization,<5,23.0,11.0,72.0
2021-09-26 - 2021-10-02,60-69,Death,<5,10.0,<5,16.0
2021-09-26 - 2021-10-02,70-79,Hospitalization,<5,23.0,18.0,50.0
2021-09-26 - 2021-10-02,70-79,Death,,5.0,<5,16.0
2021-09-26 - 2021-10-02,80-89,Hospitalization,<5,19.0,13.0,40.0
2021-09-26 - 2021-10-02,80-89,Death,<5,7.0,8.0,15.0
2021-09-26 - 2021-10-02,90+,Hospitalization,<5,<5,8.0,18.0
2021-09-26 - 2021-10-02,90+,Death,<5,<5,5.0,12.0
2021-10-03 - 2021-10-09,0-19,Hospitalization,<5,<5,,44.0
2021-10-03 - 2021-10-09,0-19,Death,,<5,,<5
2021-10-03 - 2021-10-09,20-29,Hospitalization,<5,17.0,<5,32.0
2021-10-03 - 2021-10-09,20-29,Death,,,,
2021-10-03 - 2021-10-09,30-39,Hospitalization,<5,14.0,<5,42.0
2021-10-03 - 2021-10-09,30-39,Death,,,,<5
2021-10-03 - 2021-10-09,40-49,Hospitalization,<5,9.0,<5,54.0
2021-10-03 - 2021-10-09,40-49,Death,,<5,,<5
2021-10-03 - 2021-10-09,50-59,Hospitalization,<5,12.0,5.0,52.0
2021-10-03 - 2021-10-09,50-59,Death,,5.0,,7.0
2021-10-03 - 2021-10-09,60-69,Hospitalization,<5,10.0,5.0,33.0
2021-10-03 - 2021-10-09,60-69,Death,,<5,,10.0
2021-10-03 - 2021-10-09,70-79,Hospitalization,<5,13.0,10.0,38.0
2021-10-03 - 2021-10-09,70-79,Death,<5,5.0,<5,22.0
2021-10-03 - 2021-10-09,80-89,Hospitalization,<5,9.0,13.0,37.0
2021-10-03 - 2021-10-09,80-89,Death,<5,5.0,<5,13.0
2021-10-03 - 2021-10-09,90+,Hospitalization,<5,<5,<5,11.0
2021-10-03 - 2021-10-09,90+,Death,,<5,<5,6.0
2021-10-10 - 2021-10-16,0-19,Hospitalization,<5,<5,,58.0
2021-10-10 - 2021-10-16,0-19,Death,,,,
2021-10-10 - 2021-10-16,20-29,Hospitalization,<5,13.0,<5,27.0
2021-10-10 - 2021-10-16,20-29,Death,,,,
2021-10-10 - 2021-10-16,30-39,Hospitalization,<5,6.0,<5,29.0
2021-10-10 - 2021-10-16,30-39,Death,,,,<5
2021-10-10 - 2021-10-16,40-49,Hospitalization,<5,<5,<5,30.0
2021-10-10 - 2021-10-16,40-49,Death,,,,<5
2021-10-10 - 2021-10-16,50-59,Hospitalization,<5,7.0,<5,31.0
2021-10-10 - 2021-10-16,50-59,Death,,,,<5
2021-10-10 - 2021-10-16,60-69,Hospitalization,<5,7.0,8.0,25.0
2021-10-10 - 2021-10-16,60-69,Death,<5,5.0,,16.0
2021-10-10 - 2021-10-16,70-79,Hospitalization,,7.0,8.0,16.0
2021-10-10 - 2021-10-16,70-79,Death,<5,,<5,15.0
2021-10-10 - 2021-10-16,80-89,Hospitalization,<5,<5,7.0,15.0
2021-10-10 - 2021-10-16,80-89,Death,<5,<5,<5,15.0
2021-10-10 - 2021-10-16,90+,Hospitalization,,<5,<5,<5
2021-10-10 - 2021-10-16,90+,Death,<5,<5,<5,<5
2021-10-17 - 2021-10-23,0-19,Hospitalization,,<5,,35.0
2021-10-17 - 2021-10-23,0-19,Death,,,,
2021-10-17 - 2021-10-23,20-29,Hospitalization,<5,<5,<5,17.0
2021-10-17 - 2021-10-23,20-29,Death,,,,
2021-10-17 - 2021-10-23,30-39,Hospitalization,,<5,<5,29.0
2021-10-17 - 2021-10-23,30-39,Death,,,,
2021-10-17 - 2021-10-23,40-49,Hospitalization,,5.0,<5,21.0
2021-10-17 - 2021-10-23,40-49,Death,<5,,,<5
2021-10-17 - 2021-10-23,50-59,Hospitalization,,<5,<5,12.0
2021-10-17 - 2021-10-23,50-59,Death,,<5,<5,<5
2021-10-17 - 2021-10-23,60-69,Hospitalization,,7.0,<5,23.0
2021-10-17 - 2021-10-23,60-69,Death,,<5,<5,9.0
2021-10-17 - 2021-10-23,70-79,Hospitalization,<5,8.0,<5,14.0
2021-10-17 - 2021-10-23,70-79,Death,<5,<5,<5,6.0
2021-10-17 - 2021-10-23,80-89,Hospitalization,<5,7.0,8.0,7.0
2021-10-17 - 2021-10-23,80-89,Death,,<5,<5,5.0
2021-10-17 - 2021-10-23,90+,Hospitalization,,<5,<5,<5
2021-10-17 - 2021-10-23,90+,Death,,<5,,<5
2021-10-24 - 2021-10-30,0-19,Hospitalization,,<5,,22.0
2021-10-24 - 2021-10-30,0-19,Death,,,,
2021-10-24 - 2021-10-30,20-29,Hospitalization,<5,<5,,9.0
2021-10-24 - 2021-10-30,20-29,Death,,<5,,<5
2021-10-24 - 2021-10-30,30-39,Hospitalization,<5,6.0,,15.0
2021-10-24 - 2021-10-30,30-39,Death,,,,<5
2021-10-24 - 2021-10-30,40-49,Hospitalization,,6.0,<5,15.0
2021-10-24 - 2021-10-30,40-49,Death,,<5,,
2021-10-24 - 2021-10-30,50-59,Hospitalization,,<5,,16.0
2021-10-24 - 2021-10-30,50-59,Death,<5,<5,,<5
2021-10-24 - 2021-10-30,60-69,Hospitalization,,7.0,<5,15.0
2021-10-24 - 2021-10-30,60-69,Death,<5,<5,,9.0
2021-10-24 - 2021-10-30,70-79,Hospitalization,,<5,5.0,8.0
2021-10-24 - 2021-10-30,70-79,Death,,<5,<5,6.0
2021-10-24 - 2021-10-30,80-89,Hospitalization,,<5,<5,7.0
2021-10-24 - 2021-10-30,80-89,Death,,<5,,<5
2021-10-24 - 2021-10-30,90+,Hospitalization,,<5,<5,<5
2021-10-24 - 2021-10-30,90+,Death,,<5,<5,<5
2021-10-31 - 2021-11-06,0-19,Hospitalization,,,,16.0
2021-10-31 - 2021-11-06,0-19,Death,,,,
2021-10-31 - 2021-11-06,20-29,Hospitalization,<5,<5,,11.0
2021-10-31 - 2021-11-06,20-29,Death,,,,
2021-10-31 - 2021-11-06,30-39,Hospitalization,,<5,<5,9.0
2021-10-31 - 2021-11-06,30-39,Death,,,,<5
2021-10-31 - 2021-11-06,40-49,Hospitalization,<5,<5,<5,6.0
2021-10-31 - 2021-11-06,40-49,Death,,,,<5
2021-10-31 - 2021-11-06,50-59,Hospitalization,,<5,<5,10.0
2021-10-31 - 2021-11-06,50-59,Death,,,<5,<5
2021-10-31 - 2021-11-06,60-69,Hospitalization,,<5,<5,6.0
2021-10-31 - 2021-11-06,60-69,Death,<5,<5,,<5
2021-10-31 - 2021-11-06,70-79,Hospitalization,<5,<5,<5,14.0
2021-10-31 - 2021-11-06,70-79,Death,,<5,,<5
2021-10-31 - 2021-11-06,80-89,Hospitalization,,<5,<5,<5
2021-10-31 - 2021-11-06,80-89,Death,,<5,<5,
2021-10-31 - 2021-11-06,90+,Hospitalization,,,,<5
2021-10-31 - 2021-11-06,90+,Death,,,,<5
